order_id,product_id,quantity
1,57,1
2,74,2
2,58,1
2,101,2
3,65,2
4,17,1
5,34,1
5,103,1
6,82,1
7,90,1
8,81,1
9,30,1
9,7,2
10,24,1
11,24,2
12,55,1
12,62,1
13,98,1
14,4,1
15,91,2
16,65,2
17,103,1
18,8,1
19,69,1
19,2,1
19,14,1
20,72,1
20,17,1
21,46,2
21,57,2
22,35,2
22,58,1
22,18,1
23,104,1
24,15,2
25,68,1
26,62,1
26,44,1
27,50,1
27,97,1
28,82,1
29,66,1
29,23,1
29,40,1
30,42,2
31,97,2
32,5,1
33,40,1
34,60,1
35,26,2
36,18,2
37,92,2
38,69,1
39,63,2
39,88,1
40,58,1
40,57,1
40,100,1
41,87,1
41,96,1
42,72,1
43,10,1
43,61,1
44,103,1
44,9,1
45,6,1
46,25,1
46,5,2
47,42,1
47,93,1
47,70,1
48,30,2
49,90,1
50,66,1
50,9,1
51,61,1
52,66,2
53,55,1
54,23,1
55,33,2
56,47,1
57,55,1
58,69,1
59,69,2
60,89,1
61,78,1
62,58,1
63,71,1
64,83,1
65,97,2
66,93,1
67,31,1
68,16,1
69,59,2
70,66,1
71,69,1
72,103,1
73,75,1
74,76,1
75,100,1
