order_id,user_id,order_date,status,total_amount
1,83394,2025-02-04,delivered,26.79
2,86286,2024-09-17,delivered,47.95
3,91850,2024-12-21,delivered,145.99
4,60528,2024-09-26,returned,19.49
5,72460,2025-05-23,delivered,15.99
6,82321,2025-02-24,delivered,20.0
7,40094,2025-01-12,delivered,82.49
8,3428,2025-01-31,delivered,46.99
9,83966,2024-11-08,delivered,19.49
10,99726,2025-06-15,delivered,55.49
11,87745,2025-03-13,delivered,36.99
12,94502,2025-03-07,delivered,87.49
13,84090,2024-10-26,delivered,16.95
14,40679,2025-04-07,delivered,23.79
15,82839,2025-07-11,delivered,22.79
16,68885,2024-11-20,delivered,15.0
17,91467,2025-08-28,delivered,44.95
18,49106,2024-09-24,delivered,42.99
19,11402,2025-02-20,delivered,33.99
20,91934,2025-06-06,delivered,26.95
21,40094,2025-01-26,delivered,15.0
22,9439,2025-04-19,delivered,21.79
23,87186,2025-05-23,delivered,23.0
24,14357,2025-01-30,delivered,15.49
25,13381,2025-06-26,delivered,28.79
26,65705,2024-09-29,delivered,49.79
27,80869,2024-11-07,delivered,218.79
28,92423,2025-06-07,delivered,39.49
29,90076,2024-10-24,delivered,42.95
30,32964,2024-11-13,cancelled,30.49
31,35297,2024-12-03,delivered,15.49
32,88081,2025-03-31,delivered,32.99
33,38528,2024-10-27,delivered,35.95
34,96199,2025-03-27,delivered,388.95
35,18652,2025-04-13,delivered,27.99
36,85182,2024-12-05,returned,44.0
37,84593,2024-11-24,delivered,31.79
38,65230,2024-11-23,delivered,15.99
39,41678,2025-02-22,delivered,103.79
40,91589,2024-11-18,delivered,70.95
41,83965,2024-12-26,delivered,73.99
42,83349,2025-06-24,delivered,15.95
43,16458,2025-06-09,delivered,134.95
44,84572,2025-01-22,delivered,15.95
45,95017,2025-01-23,delivered,59.0
46,88690,2024-09-12,delivered,296.49
47,90076,2025-02-13,delivered,15.49
48,14904,2024-12-02,delivered,18.95
49,63177,2025-08-07,delivered,36.99
50,88666,2025-03-05,delivered,20.79
51,14391,2025-02-06,delivered,15.0
52,89115,2025-01-06,delivered,35.49
53,93777,2025-04-18,delivered,15.79
54,99414,2025-01-03,returned,53.49
55,48909,2025-02-05,delivered,15.79
56,88609,2025-07-19,returned,156.49
57,21282,2025-04-16,delivered,15.0
58,86498,2024-11-05,delivered,23.49
59,81543,2024-11-11,delivered,74.49
60,98089,2025-01-07,returned,15.0
61,69334,2025-07-29,delivered,41.95
62,80483,2024-09-17,delivered,122.95
63,69950,2024-11-19,delivered,15.99
64,88185,2024-11-07,delivered,39.79
65,10532,2024-12-27,delivered,42.49
66,19239,2025-03-23,delivered,72.79
67,51373,2024-12-08,delivered,15.99
68,82386,2024-10-23,delivered,15.95
69,3055,2024-09-20,delivered,55.0
70,83655,2024-10-14,delivered,44.99
71,89840,2024-12-25,delivered,42.49
72,99414,2025-04-20,delivered,46.49
73,49755,2025-05-29,delivered,16.95
74,94355,2024-10-29,delivered,41.95
75,87002,2024-10-02,delivered,44.79
76,15121,2025-04-29,delivered,16.49
77,20927,2025-02-18,delivered,213.49
78,89606,2025-06-03,delivered,53.99
79,82292,2024-09-08,delivered,15.79
80,98864,2024-12-04,cancelled,63.0
81,62028,2024-10-28,delivered,15.0
82,97595,2025-02-18,delivered,72.95
83,87174,2025-01-31,delivered,105.0
84,13131,2025-08-31,delivered,15.95
85,20803,2024-10-03,delivered,86.95
86,91609,2024-11-13,returned,50.79
87,81863,2025-08-31,delivered,75.99
88,96062,2025-07-12,delivered,220.0
89,81997,2024-12-03,delivered,25.79
90,88845,2025-01-22,returned,15.49
91,91685,2024-09-25,delivered,15.0
92,92433,2025-05-11,delivered,15.79
93,68885,2024-12-30,delivered,30.99
94,82081,2024-09-06,cancelled,46.49
95,93624,2024-09-15,delivered,43.79
96,14157,2025-04-27,returned,75.99
97,37337,2025-07-28,returned,33.0
98,36748,2025-04-05,delivered,141.49
99,87898,2025-05-22,delivered,25.79
100,83349,2025-06-10,delivered,502.95
101,78733,2025-06-27,delivered,61.49
102,91327,2024-12-15,returned,15.95
103,93193,2025-03-08,delivered,15.0
104,34790,2025-04-19,returned,53.79
105,38546,2025-02-28,delivered,26.99
106,85560,2024-12-22,delivered,67.49
107,59735,2024-10-18,returned,53.95
108,94520,2024-12-07,delivered,30.99
109,99782,2025-02-27,delivered,15.0
110,65515,2024-11-15,delivered,15.0
111,31391,2024-10-07,delivered,21.99
112,90366,2024-12-31,delivered,77.0
113,92606,2024-12-12,delivered,41.95
114,56070,2024-09-12,delivered,15.0
115,68885,2025-04-09,delivered,39.95
116,19181,2024-09-21,delivered,48.49
117,95924,2024-09-09,delivered,15.95
118,71820,2025-02-02,delivered,38.49
119,99316,2025-02-02,delivered,35.0
120,87361,2025-04-16,returned,15.49
121,18050,2024-10-29,delivered,47.99
122,93008,2025-03-04,delivered,58.79
123,20665,2025-01-06,returned,97.95
124,26723,2025-04-16,delivered,94.0
125,87304,2025-06-03,delivered,15.95
126,19239,2024-11-15,delivered,15.99
127,94037,2025-01-08,returned,55.99
128,85210,2025-02-20,delivered,55.95
129,80414,2025-03-26,delivered,55.49
130,18849,2024-12-06,delivered,999.49
131,86887,2024-11-17,delivered,58.49
132,85238,2025-02-05,delivered,103.49
133,65259,2025-05-25,delivered,85.79
134,96171,2024-12-12,delivered,63.0
135,92504,2024-10-19,delivered,24.49
136,92110,2025-01-20,delivered,70.99
137,99879,2024-09-24,delivered,15.95
138,88903,2025-08-07,delivered,26.79
139,81319,2025-01-04,delivered,20.79
140,93096,2024-10-20,delivered,35.95
141,15379,2025-04-23,delivered,335.95
142,86940,2024-10-18,delivered,15.95
143,10521,2025-05-02,delivered,65.99
144,80193,2024-12-30,delivered,15.79
145,48866,2024-11-20,delivered,20.99
146,68085,2024-09-25,delivered,98.79
147,96890,2025-01-03,delivered,35.0
148,86777,2025-04-10,delivered,15.99
149,81863,2025-05-12,returned,16.95
150,78925,2024-12-17,delivered,65.0
151,56175,2025-01-24,delivered,15.0
152,91436,2025-05-01,delivered,41.0
153,50762,2024-11-11,delivered,34.99
154,5948,2024-09-06,delivered,17.95
155,93594,2024-11-20,delivered,282.79
156,97378,2025-05-06,cancelled,62.49
157,83779,2024-12-04,delivered,15.99
158,92464,2024-12-18,delivered,39.99
159,96008,2024-10-23,delivered,17.95
160,89066,2025-02-07,cancelled,77.49
161,16188,2025-04-25,delivered,15.0
162,81657,2025-01-04,delivered,29.79
163,72292,2025-03-16,delivered,54.99
164,97403,2024-10-29,delivered,78.79
165,91934,2024-10-07,delivered,15.95
166,94476,2024-12-28,delivered,23.95
167,8921,2024-11-02,delivered,20.0
168,29943,2024-11-15,delivered,17.49
169,85215,2024-10-18,delivered,193.0
170,68236,2024-09-17,returned,49.95
171,82538,2025-06-12,delivered,15.0
172,83189,2025-06-17,delivered,82.99
173,95879,2025-06-14,delivered,276.49
174,1402,2024-09-13,delivered,92.79
175,17882,2025-01-07,delivered,15.79
176,30258,2025-08-14,delivered,20.99
177,87164,2024-12-22,delivered,117.79
178,89086,2024-12-03,cancelled,16.79
179,22914,2025-06-20,delivered,51.79
180,80976,2025-01-23,delivered,71.0
181,44297,2024-09-23,delivered,15.79
182,15449,2025-03-09,delivered,31.0
183,80305,2024-11-27,delivered,15.0
184,84276,2024-12-27,returned,15.49
185,63999,2025-07-03,delivered,25.49
186,85215,2025-05-31,delivered,15.95
187,94719,2025-06-03,delivered,169.99
188,87757,2025-05-05,delivered,15.49
189,28295,2024-11-20,delivered,21.49
190,59735,2025-01-22,delivered,37.0
191,86222,2024-11-21,delivered,139.95
192,90827,2025-08-26,returned,15.95
193,99024,2025-07-17,delivered,105.0
194,21013,2024-11-18,returned,33.0
195,7502,2024-12-18,delivered,15.95
196,82848,2024-10-22,delivered,52.49
197,97674,2025-05-30,delivered,40.95
198,92742,2024-10-25,delivered,18.0
199,71631,2024-11-01,delivered,35.0
200,37977,2024-10-27,delivered,22.95
201,20175,2025-03-24,delivered,37.0
202,32422,2024-11-18,delivered,64.49
203,85324,2025-06-02,delivered,161.79
204,99853,2024-12-07,delivered,15.95
205,39487,2025-07-19,cancelled,279.95
206,38528,2025-04-14,returned,15.49
207,88924,2024-11-10,cancelled,28.95
208,56573,2025-06-30,delivered,59.99
209,5948,2025-02-11,returned,43.49
210,1203,2025-07-11,delivered,17.99
211,93074,2025-04-09,delivered,26.79
212,94272,2025-03-23,delivered,20.0
213,22139,2024-11-17,delivered,18.95
214,88081,2024-10-16,delivered,77.79
215,60993,2025-03-29,delivered,47.79
216,84400,2025-05-31,delivered,16.79
217,96171,2024-09-12,returned,81.95
218,93624,2024-09-21,delivered,45.79
219,93230,2024-11-04,cancelled,74.95
220,96540,2025-07-14,delivered,62.79
221,92449,2024-10-01,returned,15.79
222,47974,2025-01-16,delivered,18.49
223,95773,2024-12-25,cancelled,69.99
224,42304,2024-11-11,delivered,60.99
225,7969,2024-10-19,delivered,32.49
226,86228,2024-10-02,cancelled,37.95
227,96640,2025-02-05,delivered,118.49
228,99121,2025-04-21,delivered,18.95
229,94719,2024-10-01,delivered,57.49
230,19952,2024-12-25,delivered,27.95
231,58652,2024-12-17,delivered,26.99
232,5437,2025-07-18,delivered,99.0
233,35447,2024-10-02,delivered,75.95
234,27522,2024-12-22,delivered,74.0
235,90076,2025-02-09,delivered,122.79
236,98544,2025-01-28,delivered,33.0
237,82046,2024-10-14,delivered,65.95
238,52166,2025-04-24,cancelled,24.79
239,99819,2024-10-23,delivered,45.99
240,18849,2025-02-05,delivered,29.79
241,90650,2025-01-18,delivered,36.95
242,85958,2024-10-05,delivered,60.49
243,87798,2025-01-20,delivered,15.49
244,51015,2025-01-12,delivered,268.95
245,85607,2024-09-17,delivered,15.0
246,85008,2024-09-29,delivered,15.79
247,26098,2025-06-22,delivered,105.49
248,92298,2025-05-14,delivered,73.99
249,97338,2025-02-05,delivered,61.99
250,88185,2024-09-19,delivered,62.99
251,81645,2024-11-28,delivered,32.99
252,13939,2024-12-20,delivered,15.99
253,63281,2024-10-27,returned,35.95
254,56573,2025-05-05,delivered,16.0
255,91149,2025-08-05,delivered,87.79
256,89882,2024-09-29,delivered,28.99
257,3146,2025-04-02,delivered,15.0
258,95574,2024-09-22,delivered,24.99
259,97766,2025-04-03,cancelled,50.0
260,99626,2025-02-21,delivered,18.99
261,79234,2025-05-07,delivered,15.0
262,91954,2025-01-23,returned,42.0
263,51732,2025-02-16,delivered,42.49
264,88544,2025-03-18,returned,19.99
265,46772,2024-09-19,delivered,20.95
266,95554,2025-01-16,delivered,41.49
267,14833,2024-12-11,cancelled,15.0
268,94413,2024-09-07,delivered,15.49
269,13123,2025-01-23,delivered,16.49
270,15121,2025-02-21,delivered,26.95
271,90851,2025-01-02,delivered,45.79
272,82778,2025-02-04,delivered,144.49
273,84532,2024-11-11,delivered,78.99
274,97573,2025-04-12,returned,28.0
275,97674,2025-05-16,delivered,32.0
276,84136,2024-10-03,delivered,15.0
277,4661,2024-10-06,cancelled,32.49
278,27476,2025-04-03,delivered,24.99
279,92270,2025-05-11,delivered,45.49
280,89722,2025-05-31,delivered,15.49
281,20733,2025-07-27,delivered,55.99
282,88650,2024-12-13,delivered,153.95
283,449,2024-10-31,delivered,29.0
