order_id,user_id,order_date,status,total_amount
1,28062,2025-07-07,delivered,409.9
2,49625,2024-11-20,shipped,117.22
3,34406,2025-04-09,delivered,238.73
4,14450,2024-10-03,delivered,466.65
5,23405,2025-05-25,returned,151.36
6,34674,2025-04-13,delivered,67.69
7,39188,2025-03-04,shipped,410.35
8,42607,2025-03-02,pending,186.64
9,25162,2025-01-19,delivered,107.78
10,15887,2025-01-19,delivered,361.19
11,24668,2025-04-19,delivered,483.44
12,42915,2025-04-13,delivered,434.29
13,483,2025-06-27,shipped,171.95
14,21933,2024-12-23,shipped,381.36
15,24290,2025-02-18,delivered,117.02
16,19270,2025-08-14,delivered,25.02
17,2618,2024-10-09,returned,212.62
18,46087,2025-07-18,delivered,212.44
19,47137,2024-09-05,delivered,347.61
20,31765,2025-05-18,delivered,139.55
21,38759,2025-04-19,delivered,395.54
22,45024,2025-02-13,delivered,273.28
23,23356,2025-01-13,returned,10.67
24,30300,2025-06-15,returned,335.56
25,11938,2024-12-28,delivered,297.0
26,22481,2025-02-01,delivered,298.71
27,8289,2025-05-14,delivered,261.72
28,32815,2025-03-09,shipped,467.12
29,1373,2025-04-29,delivered,102.69
30,13459,2025-05-23,delivered,145.19
31,17614,2024-10-28,delivered,266.02
32,46811,2025-07-11,delivered,409.88
33,736,2024-12-22,shipped,202.04
34,32667,2025-04-25,delivered,433.08
35,30825,2025-04-03,delivered,159.38
36,37558,2025-04-10,delivered,79.63
37,15388,2025-03-12,delivered,431.34
38,12829,2025-05-25,shipped,46.08
39,16074,2024-09-04,delivered,473.88
40,47719,2025-08-22,pending,149.39
41,10821,2025-04-24,delivered,165.66
42,9399,2024-12-25,delivered,11.09
43,40823,2025-05-07,delivered,44.52
44,23769,2025-02-03,delivered,419.92
45,9538,2025-06-25,delivered,283.04
46,45860,2025-04-20,delivered,297.94
47,25751,2024-10-01,delivered,364.35
48,30748,2024-10-12,shipped,111.02
49,1670,2025-06-03,delivered,278.87
50,43721,2025-05-17,delivered,16.08
51,30882,2025-08-12,delivered,416.19
52,13604,2024-09-22,delivered,437.1
53,44842,2025-04-19,delivered,120.11
54,14385,2025-09-01,shipped,273.93
55,37908,2025-03-11,delivered,160.0
56,32833,2025-03-25,delivered,160.3
57,7313,2025-07-16,delivered,70.19
58,18670,2025-01-23,delivered,277.22
59,47836,2024-09-08,shipped,358.12
60,45817,2025-08-18,pending,394.77
61,22641,2025-03-26,delivered,420.06
62,13479,2025-08-25,delivered,127.92
63,24691,2025-03-17,delivered,166.9
64,19565,2024-10-17,shipped,34.69
65,19754,2025-07-01,delivered,155.03
66,32680,2025-07-04,delivered,24.9
67,72,2024-09-21,delivered,248.57
68,48321,2025-01-08,pending,165.3
69,20357,2025-08-27,delivered,81.13
70,37477,2025-06-08,shipped,462.69
71,41989,2024-10-12,delivered,244.26
72,18121,2025-01-11,delivered,118.48
73,44180,2025-01-03,delivered,149.12
74,39115,2025-08-09,delivered,155.56
75,31591,2025-02-15,delivered,149.95
76,8887,2025-05-05,delivered,365.06
77,12412,2025-05-22,delivered,224.02
78,568,2025-06-06,pending,214.1
79,45258,2024-12-30,delivered,195.24
80,31820,2025-07-24,delivered,272.65
81,41084,2024-09-05,delivered,153.09
82,10013,2025-01-15,shipped,255.73
83,43103,2024-11-02,delivered,280.71
84,31173,2025-03-27,returned,57.39
85,37540,2025-08-23,delivered,346.65
86,46418,2025-04-23,delivered,396.23
87,34065,2025-07-09,delivered,146.03
88,40966,2025-07-30,delivered,369.61
89,39798,2025-04-16,shipped,413.1
90,9270,2025-05-19,delivered,431.59
91,38458,2024-09-28,delivered,127.67
92,49790,2025-09-01,delivered,337.56
93,17098,2025-05-08,pending,177.36
94,38412,2024-12-25,delivered,230.1
95,41603,2024-11-09,shipped,355.0
96,35978,2024-09-30,delivered,412.54
97,26631,2025-05-15,delivered,53.38
98,48441,2025-06-25,delivered,180.73
99,30096,2025-06-09,delivered,73.92
100,7267,2025-08-07,shipped,321.92
101,29066,2025-06-02,delivered,79.32
102,38326,2024-12-20,delivered,393.33
103,32590,2025-01-19,delivered,69.75
104,12207,2025-05-06,shipped,288.24
