order_id,product_id,quantity,unit_price,total_price,discount_amount,discount_rate,tax_amount,tax_rate,shipping_cost,product_variant,is_gift_wrapped,is_bulk_order,cross_sell_item
1,47,2,67.53,137.26,13.51,0.1,9.72,0.08,5.99,Standard,False,False,False
1,2,17,45.38,591.03,231.44,0.3,43.2,0.08,7.79,Standard,False,True,False
1,64,1,185.86,157.74,46.47,0.25,11.15,0.08,7.19,Standard,False,False,False
2,93,3,19.16,61.86,5.75,0.1,4.14,0.08,5.99,Standard,False,False,False
2,100,1,41.92,44.67,6.11,0.146,2.87,0.08,5.99,Standard,False,False,True
3,47,3,71.28,225.39,10.69,0.05,16.25,0.08,5.99,Standard,False,False,False
3,21,1,33.37,44.03,0.0,0.0,2.67,0.08,7.99,Standard,False,False,False
3,37,1,105.02,119.41,0.0,0.0,8.4,0.08,5.99,Standard,True,False,False
4,45,38,48.31,1593.97,367.17,0.2,117.49,0.08,7.79,Standard,False,True,False
5,12,1,43.91,57.01,0.0,0.0,3.51,0.08,9.59,Standard,False,False,False
5,2,4,51.86,185.23,41.49,0.2,13.28,0.08,5.99,Standard,False,False,False
5,69,1,35.97,58.33,0.0,0.0,2.88,0.08,19.48,Standard,False,False,False
6,58,5,410.15,1683.11,512.69,0.25,123.05,0.08,21.99,Standard,False,False,False
7,35,1,137.35,124.66,27.47,0.2,8.79,0.08,5.99,Standard,False,False,False
7,77,3,48.29,146.82,14.49,0.1,10.43,0.08,5.99,Standard,False,False,False
8,70,1,107.58,95.13,26.9,0.25,6.45,0.08,7.99,Standard,False,False,False
8,47,1,56.27,51.57,14.07,0.25,3.38,0.08,5.99,Standard,False,False,False
8,29,2,97.75,187.24,29.53,0.151,13.28,0.08,7.99,Standard,True,False,True
9,30,1,74.24,82.16,3.71,0.05,5.64,0.08,5.99,Standard,False,False,False
9,84,1,30.42,34.27,6.08,0.2,1.95,0.08,7.99,Standard,False,False,False
9,66,5,5.49,27.36,8.24,0.3,1.54,0.08,6.59,Standard,False,False,False
10,49,2,87.06,172.83,26.12,0.15,11.84,0.08,12.99,Standard,False,False,False
11,81,4,24.17,108.25,14.5,0.15,6.58,0.08,19.48,Standard,False,False,False
12,15,3,54.95,139.51,41.21,0.25,9.89,0.08,5.99,Standard,False,False,False
12,22,4,341.21,1338.6,136.48,0.1,98.27,0.08,11.98,Standard,False,False,False
13,14,1,33.6,36.84,5.04,0.15,2.28,0.08,5.99,Standard,False,False,False
14,27,1,64.65,85.81,3.23,0.05,4.91,0.08,19.48,Standard,False,False,False
14,24,1,83.88,92.05,4.19,0.05,6.37,0.08,5.99,Standard,False,False,False
15,64,1,223.04,223.98,22.3,0.1,16.06,0.08,7.19,Standard,False,False,False
16,33,3,164.02,431.14,98.41,0.2,31.49,0.08,5.99,Standard,False,False,False
17,42,1,199.06,234.46,0.0,0.0,15.92,0.08,19.48,Standard,False,False,False
18,69,1,35.97,58.33,0.0,0.0,2.88,0.08,19.48,Standard,False,False,False
19,45,1,60.39,71.21,0.0,0.0,4.83,0.08,5.99,Standard,False,False,False
20,37,1,89.27,87.94,13.39,0.15,6.07,0.08,5.99,Standard,False,False,False
21,10,1,98.07,103.32,9.81,0.1,7.06,0.08,7.99,Standard,False,False,False
22,40,1,190.14,211.34,0.0,0.0,15.21,0.08,5.99,Standard,False,False,False
22,69,1,30.57,47.55,4.59,0.15,2.08,0.08,19.48,Standard,False,False,False
23,2,5,48.62,203.51,60.78,0.25,14.59,0.08,6.59,Standard,False,False,False
23,94,1,43.6,55.08,0.0,0.0,3.49,0.08,7.99,Standard,False,False,False
24,3,1,789.51,649.09,197.38,0.25,47.37,0.08,9.59,Standard,False,False,False
24,45,6,48.31,257.04,57.97,0.2,18.55,0.08,6.59,Standard,False,False,False
25,56,5,62.43,310.01,31.22,0.1,22.48,0.08,6.59,Standard,False,False,False
25,85,2,49.38,101.09,10.7,0.108,7.04,0.08,5.99,Standard,False,False,True
26,77,5,42.93,192.04,42.93,0.2,13.74,0.08,6.59,Standard,False,False,False
26,57,4,8.67,32.22,10.41,0.3,1.94,0.08,5.99,Standard,False,False,False
26,98,1,15.01,19.21,2.77,0.184,0.98,0.08,5.99,Standard,False,False,True
27,9,23,74.19,1300.46,511.93,0.3,95.56,0.08,10.39,Standard,False,True,False
27,48,18,13.28,191.09,71.71,0.3,13.39,0.08,10.39,Standard,False,True,False
27,16,3,497.69,1370.64,223.96,0.15,101.53,0.08,0.0,Standard,False,False,False
28,47,1,67.53,71.63,6.75,0.1,4.86,0.08,5.99,Standard,False,False,False
28,84,39,26.61,795.08,311.38,0.3,58.12,0.08,10.39,Standard,False,True,False
28,83,1,160.73,164.22,16.07,0.1,11.57,0.08,7.99,Standard,False,False,False
29,98,55,13.81,622.91,189.85,0.25,45.56,0.08,7.79,Standard,False,True,False
30,89,1,55.99,66.46,0.0,0.0,4.48,0.08,5.99,Standard,False,False,False
31,45,1,48.31,47.73,9.66,0.2,3.09,0.08,5.99,Standard,False,False,False
31,35,3,128.77,318.9,96.58,0.25,23.18,0.08,5.99,Standard,False,False,False
32,86,1,12.94,17.17,2.59,0.2,0.83,0.08,5.99,Standard,False,False,False
33,47,1,71.28,79.12,3.56,0.05,5.42,0.08,5.99,Standard,False,False,False
33,66,1,7.46,13.64,0.37,0.05,0.57,0.08,5.99,Standard,False,False,False
34,56,4,62.43,248.73,24.97,0.1,17.98,0.08,5.99,Standard,False,False,False
35,48,8,16.12,127.21,19.35,0.15,8.77,0.08,8.79,Standard,False,False,False
35,43,1,37.71,46.68,1.89,0.05,2.87,0.08,7.99,Standard,False,False,False
36,30,4,62.52,222.06,50.02,0.2,16.01,0.08,5.99,Standard,False,False,False
36,47,2,75.03,168.05,0.0,0.0,12.0,0.08,5.99,Standard,False,False,False
37,8,4,12.99,59.29,2.6,0.05,3.95,0.08,5.99,Standard,False,False,False
38,66,1,5.89,10.76,1.47,0.25,0.35,0.08,5.99,Standard,False,False,False
38,97,1,57.62,61.99,5.76,0.1,4.15,0.08,5.99,Standard,False,False,False
38,55,1,155.24,158.88,15.52,0.1,11.18,0.08,7.99,Standard,False,False,False
39,97,1,57.62,61.99,5.76,0.1,4.15,0.08,5.99,Standard,False,False,False
39,9,1,95.39,100.71,9.54,0.1,6.87,0.08,7.99,Standard,False,False,False
40,8,5,9.57,42.76,14.35,0.3,2.68,0.08,6.59,Standard,False,False,False
41,33,1,153.77,130.55,38.44,0.25,9.23,0.08,5.99,Standard,False,False,False
41,88,2,18.97,40.87,5.65,0.149,2.58,0.08,5.99,Standard,False,False,True
41,14,1,31.72,33.48,6.27,0.198,2.04,0.08,5.99,Standard,False,False,True
42,36,6,15.7,67.64,37.68,0.4,4.52,0.08,6.59,Standard,False,False,False
42,34,1,43.95,46.34,6.59,0.15,2.99,0.08,5.99,Standard,False,False,False
42,95,1,934.35,867.33,140.15,0.15,63.54,0.08,9.59,Standard,False,False,False
42,12,1,30.74,32.83,9.22,0.3,1.72,0.08,9.59,Standard,False,False,False
43,97,1,60.82,68.39,3.04,0.05,4.62,0.08,5.99,Standard,False,False,False
43,59,1,678.57,595.87,135.71,0.2,43.43,0.08,9.59,Standard,False,False,False
44,82,1,95.01,93.21,14.25,0.15,6.46,0.08,5.99,Standard,True,False,False
44,83,2,151.8,286.7,45.54,0.15,20.65,0.08,7.99,Standard,False,False,False
44,49,1,71.69,67.19,21.51,0.3,4.01,0.08,12.99,Standard,False,False,False
45,74,1,112.21,106.54,22.44,0.2,7.18,0.08,9.59,Standard,False,False,False
45,12,3,38.75,120.37,13.67,0.118,8.21,0.08,9.59,Standard,False,False,True
45,49,1,97.3,112.82,4.86,0.05,7.39,0.08,12.99,Standard,False,False,False
45,97,3,57.62,174.0,17.29,0.1,12.45,0.08,5.99,Standard,False,False,False
46,96,1,15.37,19.27,3.07,0.2,0.98,0.08,5.99,Standard,False,False,False
47,94,23,34.88,703.53,160.45,0.2,51.34,0.08,10.39,Standard,False,True,False
47,14,1,33.6,36.84,5.04,0.15,2.28,0.08,5.99,Standard,False,False,False
48,77,6,45.61,257.82,41.05,0.15,18.61,0.08,6.59,Standard,False,False,False
48,55,8,146.62,1085.54,175.94,0.15,79.76,0.08,8.79,Standard,False,False,False
48,2,1,61.59,69.18,3.08,0.05,4.68,0.08,5.99,Standard,False,False,False
49,92,1,196.01,198.51,19.6,0.1,14.11,0.08,7.99,Standard,False,False,False
49,37,3,93.39,275.07,31.02,0.111,19.93,0.08,5.99,Standard,False,False,True
49,62,5,17.73,68.81,31.02,0.35,4.61,0.08,6.59,Standard,False,False,False
49,56,1,62.4,66.61,6.27,0.1,4.49,0.08,5.99,Standard,False,False,True
50,66,3,5.89,20.3,4.42,0.25,1.06,0.08,5.99,Standard,False,False,False
