order_id,user_id,order_date,status,total_amount,order_source,payment_method,shipping_method,promo_code,shipping_address_id,billing_address_id,customer_notes,order_priority,timezone,shipping_region
1,10752,2024-11-04,returned,886.03,mobile_app,credit_card,economy,FREESHIP,209,209,,standard,MST,MST
2,42400,2024-12-16,shipped,106.53,web,credit_card,express,,323,323,,standard,EST,EST
3,72564,2025-02-27,delivered,388.83,web,debit_card,standard,,830,613,,standard,PST,PST
4,88463,2025-05-31,delivered,1593.97,mobile_app,paypal,standard,,980,980,,standard,Other,Other
5,71355,2025-06-29,delivered,300.57,mobile_app,apple_pay,standard,,595,595,,standard,PST,PST
6,16553,2024-11-06,delivered,1683.11,web,credit_card,standard,,317,317,,standard,EST,EST
7,46893,2025-05-26,delivered,271.48,web,apple_pay,economy,WELCOME10,337,337,,standard,CST,CST
8,37321,2025-04-11,delivered,333.94,mobile_web,credit_card,standard,,804,804,,standard,CST,CST
9,98578,2024-12-04,delivered,143.79,mobile_app,credit_card,standard,,281,281,,high,EST,EST
10,72482,2024-10-21,delivered,172.83,mobile_app,credit_card,standard,,606,922,,medium,Other,Other
11,97252,2024-12-03,returned,108.25,web,credit_card,standard,,491,491,,standard,CST,CST
12,96819,2024-12-20,delivered,1478.11,mobile_web,credit_card,economy,,813,913,,standard,EST,EST
13,95543,2025-07-15,delivered,36.84,mobile_app,credit_card,express,,77,77,,medium,CST,CST
14,95884,2024-12-10,delivered,177.86,api,apple_pay,standard,,680,680,,standard,MST,MST
15,97058,2024-12-26,returned,223.98,web,credit_card,economy,,960,960,,standard,Other,Other
16,92815,2025-02-07,delivered,431.14,web,paypal,express,WELCOME10,299,299,,medium,EST,EST
17,90909,2025-03-13,delivered,234.46,mobile_web,apple_pay,standard,,178,178,,standard,MST,MST
18,91627,2025-08-24,delivered,58.33,mobile_app,paypal,standard,,520,520,,standard,EST,EST
19,91773,2024-10-12,delivered,71.21,mobile_web,credit_card,express,,772,772,,standard,EST,EST
20,90074,2025-03-03,delivered,87.94,mobile_app,credit_card,economy,,122,619,Fragile - handle with care,standard,EST,EST
21,95149,2025-03-31,delivered,103.32,web,debit_card,standard,,612,612,,standard,CST,CST
22,94474,2024-09-19,delivered,258.89,mobile_app,credit_card,standard,,175,175,,medium,MST,MST
23,95474,2025-04-28,delivered,258.59,mobile_app,debit_card,standard,,143,143,,standard,EST,EST
24,95617,2024-12-25,delivered,906.13,web,credit_card,express,,16,16,,medium,EST,EST
25,90973,2025-08-31,shipped,411.1,web,credit_card,standard,,462,531,,standard,EST,EST
26,90500,2025-01-06,delivered,243.47,web,credit_card,standard,,31,31,,medium,EST,EST
27,91598,2025-05-22,delivered,2862.19,api,paypal,economy,,586,586,,standard,PST,PST
28,94943,2025-06-24,delivered,1030.93,mobile_app,credit_card,economy,,337,337,,standard,EST,EST
29,95528,2024-12-04,delivered,622.91,mobile_app,credit_card,economy,SAVE20,343,961,,standard,EST,EST
30,97297,2025-06-13,delivered,66.46,web,credit_card,economy,,694,694,,standard,EST,EST
31,94806,2025-07-30,delivered,366.63,web,apple_pay,economy,,973,973,,standard,CST,CST
32,38674,2024-10-24,delivered,17.17,web,debit_card,standard,,166,166,,standard,MST,MST
33,84428,2024-09-08,delivered,92.76,mobile_app,paypal,standard,,351,37,,standard,PST,PST
34,47123,2025-04-13,delivered,248.73,web,paypal,standard,,941,941,,medium,PST,PST
35,61528,2024-10-10,delivered,173.89,web,credit_card,standard,,776,776,,standard,CST,CST
36,12148,2025-07-26,returned,390.11,web,apple_pay,standard,,643,742,,standard,CST,CST
37,61598,2024-11-22,delivered,59.29,web,credit_card,economy,WELCOME10,756,756,,standard,CST,CST
38,75815,2025-01-04,delivered,231.63,mobile_app,credit_card,economy,,773,773,,standard,EST,EST
39,36337,2025-01-14,delivered,162.7,mobile_web,credit_card,standard,,226,226,,standard,CST,CST
40,67143,2024-11-16,delivered,42.76,web,credit_card,standard,,519,519,,standard,EST,EST
41,6691,2025-07-01,delivered,204.9,web,credit_card,standard,,117,117,,medium,EST,EST
42,59902,2025-03-31,delivered,1014.14,web,debit_card,economy,,789,789,,standard,CST,CST
43,38810,2024-11-14,delivered,664.26,web,paypal,standard,NEWUSER,735,735,,standard,EST,EST
44,22440,2025-08-14,delivered,447.1,web,credit_card,economy,,799,799,,standard,PST,PST
45,50369,2025-06-23,delivered,513.73,mobile_web,credit_card,standard,,926,926,,standard,MST,MST
46,97459,2025-06-26,delivered,19.27,web,apple_pay,standard,,229,802,,medium,MST,MST
47,71276,2025-01-19,delivered,740.37,mobile_web,apple_pay,economy,,566,566,,standard,CST,CST
48,86849,2025-04-29,delivered,1412.54,web,apple_pay,economy,SAVE20,789,789,,standard,PST,PST
49,78921,2025-02-26,delivered,609.0,mobile_app,debit_card,economy,,568,568,,standard,EST,EST
50,55264,2025-03-07,delivered,20.3,web,paypal,economy,,914,359,,standard,Other,Other
