order_id,product_id,quantity
1,1178,2
1,4508,1
2,2099,1
3,3615,2
3,2336,1
3,1275,3
4,2600,1
5,1915,1
5,2968,2
5,1434,2
5,3739,3
6,1372,2
6,1841,1
7,1303,3
7,2559,3
7,3853,1
7,2711,1
8,3358,3
8,4134,1
8,2205,1
8,4486,3
9,4593,3
10,4351,2
10,4990,3
10,845,1
11,4699,1
12,449,3
12,1547,1
12,255,3
13,345,3
13,3299,3
13,4986,1
13,3393,2
13,396,2
13,1076,3
13,4512,3
14,4760,1
14,3819,3
14,991,3
15,1192,1
15,3415,3
16,2577,3
16,1263,2
16,1611,2
17,1401,2
17,4916,1
17,738,3
17,1288,2
18,4275,2
18,999,3
18,1784,3
18,393,2
18,1651,3
19,1691,1
19,3756,3
19,3575,2
19,1608,2
20,1813,1
20,3451,2
20,1527,2
20,3546,1
21,4859,3
21,1475,3
22,2764,2
22,3757,3
22,1758,3
23,148,2
23,3773,1
23,4449,1
23,704,1
24,4726,2
24,4731,3
25,660,2
25,4998,1
25,4644,3
26,1895,1
26,287,3
26,2150,1
27,4060,1
28,2663,3
28,2407,1
28,2708,1
28,4114,2
28,1167,1
29,3056,2
29,242,3
29,4022,2
29,3857,1
29,4837,2
29,3048,2
29,2969,1
30,4678,2
30,4190,1
30,183,1
31,293,2
31,2229,3
32,4276,1
32,2110,3
32,1282,1
32,559,2
33,2406,3
33,4386,2
33,323,3
34,631,2
34,3633,3
34,3727,2
34,3568,1
35,4120,3
35,3956,3
35,2344,3
36,2714,1
36,150,2
36,880,2
37,92,3
37,4341,1
37,2284,3
37,3771,2
38,830,1
38,4975,2
39,1495,2
39,796,2
39,121,2
40,308,3
40,2228,3
40,498,1
40,4808,2
40,935,3
40,4819,1
40,889,1
41,4553,2
41,1721,3
42,4616,1
42,794,2
43,304,3
43,3809,2
43,4408,1
44,4599,1
44,3576,1
44,322,1
44,1331,1
44,634,3
45,736,2
45,2646,1
45,2289,1
45,386,2
46,1138,1
46,3082,3
46,3491,1
46,4045,1
47,1032,2
47,985,2
47,4699,2
48,3290,3
48,3576,3
49,2479,3
49,1527,2
49,949,2
50,3835,1
50,1213,3
50,4230,1
50,4454,2
51,1338,3
52,618,1
52,4805,1
52,3939,1
53,470,1
53,4488,2
54,2288,1
54,2654,3
54,4238,1
54,2053,3
55,370,3
55,3115,2
56,4393,3
56,2130,1
57,84,3
57,2955,3
57,615,3
58,1661,2
58,3934,3
58,1265,1
58,540,3
58,4802,3
59,1980,3
60,1745,1
61,3854,3
61,3013,3
61,4447,2
61,2166,1
62,1234,1
62,1150,1
62,1276,1
63,4073,2
63,737,2
63,3434,1
64,3944,3
64,1313,1
64,843,3
64,3753,2
65,667,3
65,4375,3
65,4193,1
65,1254,3
66,447,2
66,2749,3
67,3247,1
68,1933,2
69,4976,2
70,2287,3
70,3386,1
70,370,1
70,3685,2
71,1789,3
71,2878,1
71,3865,2
71,3134,1
71,1600,2
71,2630,1
71,1967,1
72,2624,1
73,3286,3
73,3663,1
73,2648,3
74,38,1
