order_id,product_id,quantity
1,775,3
1,1324,2
1,1865,2
2,541,3
2,832,1
2,926,1
3,42,1
3,157,1
4,533,3
4,1121,1
5,364,3
5,1181,2
5,1279,3
5,1246,3
6,307,2
6,1950,1
7,1886,1
7,425,3
7,1075,2
8,1446,2
8,41,3
9,897,2
9,1682,1
10,1227,3
10,1742,3
10,302,1
11,883,2
11,329,3
12,694,3
12,1537,3
12,1239,3
13,731,3
13,1887,1
13,195,2
13,675,1
13,253,2
13,1794,2
14,1066,3
14,770,1
14,1478,3
15,1128,3
15,144,3
15,1387,1
16,667,3
16,1698,3
17,1385,3
18,790,3
18,696,1
19,688,1
19,450,3
20,1717,3
20,738,1
21,1163,3
21,268,1
22,132,3
22,269,1
22,1981,2
23,1839,1
23,581,2
24,1233,1
24,1546,3
25,148,2
25,1505,2
25,1540,1
26,741,3
26,1688,1
27,964,3
27,804,3
27,1861,2
28,1510,3
28,1273,3
29,1611,3
29,1774,1
29,11,1
30,17,3
30,62,3
30,1974,1
30,1054,1
31,251,1
32,1952,3
32,1104,2
33,480,1
33,740,2
33,1326,1
33,34,3
33,1441,2
34,1667,1
34,923,2
34,205,2
34,146,2
35,1872,3
35,960,2
35,472,3
36,204,3
36,1738,3
36,1612,3
36,1364,1
36,451,1
37,1,3
37,86,3
37,1095,1
38,1011,3
38,1434,3
39,1648,3
39,915,1
39,716,3
40,940,1
40,1466,1
40,399,3
40,226,1
40,823,3
41,1093,2
41,1828,2
42,532,1
43,745,3
43,286,1
43,1541,3
44,1629,2
44,1642,2
44,921,2
44,1134,3
44,1489,1
45,1012,2
45,984,1
45,942,1
45,202,3
45,204,3
45,2,3
46,727,3
46,718,2
46,541,1
47,300,2
47,1600,3
47,1953,3
47,1561,2
48,1442,3
48,1096,2
48,610,2
49,1749,2
49,1486,2
50,1830,3
50,156,2
51,1851,2
51,1432,1
52,807,2
52,1575,1
52,38,1
52,1171,2
52,865,3
53,603,2
53,1191,2
53,1776,3
53,807,1
53,772,1
54,1624,1
54,1498,1
54,1153,2
54,1482,2
55,23,2
56,1547,1
56,1486,2
57,750,1
58,1168,3
58,474,1
59,1963,2
59,599,1
59,1448,1
59,897,3
59,1550,2
60,868,1
61,128,3
61,744,1
61,270,2
62,1660,1
62,270,2
62,633,3
63,154,2
63,1507,3
63,647,2
63,340,1
64,848,3
64,1373,1
65,1938,3
66,1752,1
66,1037,2
66,654,2
66,1615,2
66,1306,3
67,734,2
