order_id,user_id,order_date,status,total_amount
1,237,2025-05-10,delivered,11.79
2,194,2025-05-08,shipped,166.83
3,287,2025-01-17,delivered,216.67
4,771,2025-07-17,pending,122.56
5,758,2025-08-08,delivered,107.79
6,136,2025-06-24,shipped,28.51
7,792,2025-06-25,delivered,325.25
8,783,2025-05-10,delivered,138.63
9,171,2025-06-05,shipped,35.65
10,159,2025-01-26,returned,123.18
11,201,2025-03-10,delivered,402.94
12,487,2024-12-08,delivered,427.23
13,557,2025-01-15,delivered,246.7
14,962,2025-08-16,delivered,213.87
15,776,2025-02-17,delivered,489.15
16,583,2024-11-11,delivered,108.28
17,504,2024-11-18,shipped,115.53
18,876,2025-05-15,shipped,153.01
19,371,2024-10-25,delivered,94.65
20,103,2025-08-04,delivered,195.89
21,125,2025-07-14,delivered,456.31
22,313,2025-08-01,delivered,311.52
23,976,2025-07-27,delivered,211.85
24,995,2025-02-27,returned,467.86
25,798,2025-03-18,delivered,33.75
26,458,2025-05-13,delivered,113.04
27,230,2025-06-09,delivered,287.29
28,658,2025-06-29,pending,311.62
29,882,2024-09-19,delivered,29.38
30,197,2024-09-26,delivered,207.49
31,885,2024-12-12,delivered,328.09
32,733,2025-01-11,delivered,352.05
33,423,2024-11-26,delivered,322.69
34,572,2025-01-14,delivered,167.08
35,610,2025-03-30,delivered,55.82
36,171,2025-01-21,returned,219.29
37,382,2025-06-06,delivered,73.09
38,173,2025-04-19,delivered,474.34
39,663,2025-03-06,delivered,242.83
40,453,2024-11-28,delivered,165.46
41,350,2024-09-28,delivered,385.49
42,902,2025-09-05,delivered,253.99
43,952,2024-10-23,delivered,161.92
44,634,2025-07-03,delivered,407.86
45,494,2025-03-03,delivered,434.9
46,620,2024-11-29,delivered,339.77
47,4,2025-06-21,delivered,33.01
48,93,2025-05-10,delivered,287.5
49,919,2025-05-22,delivered,384.01
50,6,2025-07-22,delivered,76.89
51,288,2024-10-24,delivered,122.05
52,618,2024-11-10,delivered,442.42
53,146,2025-04-06,delivered,19.86
54,783,2025-01-16,delivered,378.84
55,424,2025-07-18,shipped,242.15
56,890,2025-08-30,delivered,228.92
57,608,2025-07-16,delivered,13.48
58,457,2025-02-26,delivered,411.51
59,741,2025-08-29,delivered,186.31
60,202,2025-08-25,delivered,274.98
61,212,2024-09-13,delivered,341.88
62,6,2025-01-04,shipped,354.29
63,624,2025-06-07,delivered,478.43
64,376,2024-11-07,delivered,270.36
65,891,2025-07-08,delivered,205.86
66,447,2024-12-12,delivered,477.31
67,835,2024-09-21,delivered,324.63
68,106,2025-06-28,delivered,156.09
69,651,2025-06-14,delivered,71.97
70,811,2024-11-03,returned,422.85
71,401,2025-01-11,delivered,187.47
72,96,2025-01-15,returned,333.63
73,388,2025-01-14,delivered,240.7
74,959,2024-12-26,delivered,107.48
75,452,2025-08-23,delivered,304.83
76,849,2025-02-11,delivered,39.73
77,809,2025-03-26,delivered,212.54
78,979,2025-04-27,delivered,277.84
79,901,2025-06-14,delivered,223.66
80,416,2025-07-08,shipped,376.85
81,726,2025-06-03,delivered,415.68
82,504,2025-05-28,pending,387.91
83,454,2024-11-30,pending,29.02
84,291,2025-04-17,returned,105.12
85,534,2025-07-11,delivered,272.94
86,193,2025-02-26,delivered,468.06
87,980,2025-08-17,delivered,419.13
88,150,2025-08-26,delivered,422.84
89,880,2025-03-01,shipped,158.57
90,759,2025-05-15,delivered,220.43
91,779,2024-09-20,delivered,240.65
92,973,2024-12-27,delivered,87.11
93,763,2024-10-15,delivered,25.22
94,515,2024-10-15,returned,473.98
95,393,2025-02-13,delivered,127.95
96,316,2025-03-09,delivered,127.57
97,76,2025-04-09,delivered,50.86
98,599,2025-04-01,shipped,464.97
99,270,2025-08-02,delivered,294.07
100,225,2024-10-01,shipped,336.85
101,530,2025-01-22,delivered,456.67
102,113,2025-07-08,delivered,179.35
103,251,2025-04-19,delivered,314.54
104,233,2025-02-15,delivered,29.01
105,841,2025-05-10,delivered,101.52
106,791,2025-07-06,delivered,417.31
107,714,2025-08-06,delivered,385.72
108,83,2024-12-24,delivered,181.81
109,125,2025-02-07,shipped,194.64
110,175,2025-08-08,delivered,271.44
111,69,2025-05-13,delivered,10.12
112,47,2025-03-02,shipped,128.21
113,884,2024-12-04,delivered,112.03
114,256,2025-03-28,shipped,132.74
115,727,2025-02-03,delivered,404.89
116,30,2025-07-28,delivered,147.04
117,281,2025-07-07,delivered,103.85
118,924,2025-08-10,shipped,257.09
119,994,2025-01-16,delivered,434.17
120,237,2025-01-30,pending,128.26
121,248,2025-04-29,delivered,48.48
122,368,2024-09-08,delivered,184.64
123,495,2024-12-29,delivered,376.35
124,25,2024-12-22,delivered,279.84
125,586,2025-03-23,delivered,410.23
126,718,2025-05-23,returned,480.2
127,490,2025-08-31,delivered,398.4
128,494,2025-08-19,delivered,305.86
129,314,2024-12-16,delivered,251.74
130,606,2025-06-21,delivered,29.63
131,375,2025-05-23,shipped,492.32
132,639,2025-02-19,delivered,197.91
133,937,2025-03-17,shipped,84.59
134,25,2025-06-21,delivered,336.69
135,334,2024-12-02,delivered,149.3
136,355,2024-11-24,delivered,297.03
137,116,2024-11-16,delivered,297.52
138,48,2025-06-08,shipped,228.41
139,738,2024-11-13,delivered,419.7
140,778,2025-05-05,delivered,139.83
141,99,2025-07-31,returned,229.83
142,459,2024-10-02,delivered,273.47
143,523,2025-05-30,delivered,335.18
144,597,2024-11-07,delivered,394.15
145,405,2024-12-24,delivered,203.46
146,214,2025-04-04,shipped,326.56
147,685,2025-04-26,delivered,83.8
148,903,2025-01-11,delivered,467.0
149,503,2025-01-19,delivered,197.7
150,721,2025-03-31,delivered,367.47
151,448,2025-03-04,delivered,19.97
152,894,2025-08-27,delivered,110.54
153,576,2025-05-30,delivered,248.67
154,258,2025-02-21,shipped,440.34
155,844,2024-09-16,delivered,268.36
156,121,2024-09-09,shipped,465.64
157,810,2025-05-19,shipped,247.06
158,978,2025-07-31,delivered,250.32
159,54,2025-02-16,delivered,68.68
160,331,2025-08-17,delivered,403.3
161,784,2024-11-06,delivered,131.01
162,241,2024-12-06,delivered,450.81
163,755,2025-05-26,delivered,456.3
164,530,2025-05-01,delivered,472.22
165,483,2024-12-15,delivered,264.91
166,187,2025-09-05,delivered,341.78
167,858,2025-01-04,delivered,391.47
168,656,2025-04-19,delivered,74.2
169,262,2025-07-28,pending,304.47
170,953,2025-04-23,delivered,26.81
171,364,2025-05-26,delivered,253.81
172,491,2025-07-28,delivered,85.87
173,431,2024-12-22,pending,99.63
174,239,2024-11-06,delivered,188.87
175,304,2025-02-15,delivered,221.89
176,298,2024-12-20,delivered,315.35
177,76,2024-09-17,shipped,46.47
178,700,2025-03-13,returned,256.81
179,333,2025-02-12,delivered,99.49
180,900,2024-09-14,delivered,291.25
181,999,2025-05-10,delivered,322.33
182,758,2025-04-08,delivered,282.79
183,642,2025-04-23,delivered,371.76
184,474,2025-01-08,shipped,174.45
185,827,2024-11-24,shipped,384.9
186,923,2024-09-27,delivered,222.06
187,283,2024-10-08,delivered,247.25
188,591,2024-10-25,shipped,327.57
189,72,2025-06-11,delivered,19.0
190,263,2024-09-23,delivered,330.46
191,703,2024-12-01,shipped,313.11
192,879,2025-08-04,delivered,161.83
193,887,2024-12-09,shipped,52.04
194,942,2025-04-16,pending,54.56
195,575,2025-03-22,shipped,462.38
196,1000,2024-09-16,delivered,347.75
197,892,2025-06-01,shipped,72.28
198,12,2024-10-20,pending,184.79
199,141,2024-12-07,delivered,300.32
200,766,2025-06-12,delivered,419.43
201,555,2025-03-19,delivered,31.39
202,17,2025-03-17,delivered,125.95
203,63,2024-10-10,pending,445.98
204,253,2025-08-07,delivered,14.49
205,465,2025-06-26,delivered,108.69
206,376,2025-01-28,delivered,479.92
207,804,2024-10-30,delivered,310.57
208,981,2025-04-04,delivered,138.22
209,520,2024-11-30,shipped,42.83
210,837,2024-12-10,delivered,23.81
211,90,2025-01-21,shipped,129.93
212,720,2025-02-16,delivered,441.93
213,804,2025-04-06,returned,213.8
214,796,2025-05-05,returned,362.96
215,630,2024-09-25,delivered,459.96
216,861,2025-01-07,delivered,209.94
217,175,2025-08-17,delivered,103.73
218,76,2025-08-15,delivered,263.39
219,613,2025-04-05,delivered,454.96
220,926,2025-07-03,delivered,404.14
221,663,2024-10-04,delivered,42.26
222,400,2024-09-19,delivered,349.36
223,782,2025-04-03,delivered,290.23
224,970,2025-05-24,delivered,454.66
225,71,2024-09-11,delivered,70.02
226,180,2024-10-20,shipped,271.68
227,124,2025-01-25,delivered,440.94
228,381,2025-07-19,delivered,210.91
229,293,2024-11-28,delivered,246.18
230,797,2024-11-24,delivered,44.53
231,195,2025-03-01,delivered,146.29
232,911,2024-12-22,delivered,169.01
233,228,2025-07-27,delivered,473.11
234,431,2025-07-15,delivered,148.51
235,942,2024-11-20,delivered,235.83
236,436,2025-01-09,shipped,338.94
237,787,2025-02-08,pending,89.47
238,461,2025-03-02,returned,248.36
239,618,2024-09-13,delivered,371.88
240,21,2024-10-25,delivered,434.76
241,64,2025-05-09,shipped,316.87
242,165,2025-05-17,delivered,337.84
243,27,2025-02-26,delivered,71.88
244,311,2025-03-14,delivered,473.43
245,285,2024-11-08,shipped,74.96
246,660,2025-03-22,delivered,389.59
247,281,2025-06-29,delivered,139.76
248,838,2025-03-02,delivered,467.46
249,831,2024-10-02,delivered,362.78
250,164,2025-01-06,delivered,379.37
251,898,2025-08-30,delivered,117.34
252,918,2025-01-30,delivered,227.09
253,224,2025-01-25,shipped,312.73
254,784,2025-04-29,delivered,387.29
255,146,2025-02-19,delivered,60.94
256,965,2025-05-19,delivered,481.56
257,950,2025-05-04,delivered,446.21
258,868,2025-01-25,delivered,142.47
259,30,2025-03-03,delivered,413.15
260,45,2025-06-02,shipped,263.98
261,787,2025-08-26,delivered,236.29
262,471,2025-04-18,delivered,164.07
263,34,2025-05-22,delivered,294.67
264,653,2025-08-19,delivered,367.65
265,427,2024-12-28,pending,211.36
266,830,2025-01-20,delivered,318.32
267,886,2025-03-16,delivered,352.66
268,221,2025-01-15,shipped,358.45
269,868,2025-04-13,returned,35.46
270,534,2025-01-16,delivered,431.28
271,692,2025-04-30,shipped,234.54
272,948,2025-04-14,delivered,138.58
273,367,2025-01-27,delivered,128.46
274,932,2025-01-25,delivered,246.68
275,841,2024-09-14,delivered,444.55
276,743,2025-08-17,pending,195.39
277,915,2025-01-16,pending,377.37
278,550,2025-01-08,delivered,57.44
279,582,2025-08-19,delivered,243.27
280,116,2025-05-14,delivered,495.93
281,239,2024-12-07,shipped,387.51
282,335,2025-05-30,delivered,113.16
283,441,2025-05-07,delivered,255.71
284,148,2025-02-02,delivered,124.48
285,9,2024-10-27,delivered,210.68
286,288,2025-04-11,shipped,392.24
