order_id,user_id,order_date,status,total_amount
1,5,2025-04-26,delivered,426.86
2,94,2024-09-19,pending,375.53
3,94,2024-11-26,delivered,210.17
4,57,2025-07-25,shipped,467.14
5,17,2025-08-02,delivered,495.56
6,47,2025-01-09,returned,110.45
7,23,2024-10-31,delivered,195.82
8,79,2024-10-09,delivered,463.96
9,85,2025-06-07,delivered,363.58
10,14,2024-12-09,delivered,33.57
11,66,2025-01-20,delivered,392.94
12,75,2025-02-04,delivered,415.69
13,51,2025-03-22,shipped,377.75
14,38,2024-09-23,shipped,401.77
15,64,2025-05-24,shipped,414.32
16,98,2024-12-29,delivered,101.34
17,38,2024-12-14,delivered,125.49
18,50,2025-07-19,delivered,320.54
19,98,2024-11-10,pending,454.85
20,82,2024-09-16,delivered,164.94
21,30,2025-02-08,delivered,298.27
22,79,2025-08-01,delivered,344.66
23,91,2025-02-26,shipped,231.45
24,51,2025-04-07,delivered,359.75
25,63,2025-06-21,shipped,450.84
26,98,2025-04-05,delivered,315.81
27,52,2024-12-10,delivered,274.49
28,38,2024-10-10,shipped,224.98
29,97,2025-03-02,delivered,292.97
30,88,2024-10-13,delivered,184.13
31,79,2025-07-13,delivered,201.83
32,30,2025-07-09,delivered,270.61
33,51,2024-10-28,delivered,42.64
34,81,2024-10-21,delivered,122.22
35,5,2024-09-08,delivered,276.0
36,29,2024-09-27,delivered,221.45
37,4,2025-07-23,delivered,173.08
38,10,2025-07-04,delivered,367.97
39,56,2024-11-29,delivered,349.92
40,17,2024-10-24,delivered,91.7
41,74,2024-11-19,delivered,440.53
42,17,2025-07-20,delivered,252.76
43,84,2025-02-06,delivered,373.32
44,88,2025-01-26,delivered,290.84
45,69,2025-05-28,delivered,498.87
46,34,2025-05-06,delivered,378.68
47,6,2025-09-03,delivered,356.42
48,53,2025-05-12,delivered,391.5
49,66,2024-10-06,pending,80.13
50,77,2025-04-18,delivered,110.23
51,43,2025-04-19,delivered,359.89
52,75,2024-12-13,delivered,252.05
53,23,2025-08-26,delivered,379.77
54,55,2025-07-16,shipped,60.43
55,80,2024-10-03,delivered,272.88
56,95,2024-09-12,shipped,195.62
57,75,2024-09-29,delivered,233.93
58,16,2024-11-19,shipped,305.94
59,8,2025-08-20,pending,256.12
60,4,2025-05-12,delivered,274.53
61,4,2025-02-23,returned,248.32
62,56,2025-07-15,delivered,210.39
63,25,2024-10-24,delivered,388.22
64,67,2024-10-09,delivered,15.98
65,96,2025-08-21,pending,303.24
66,67,2025-07-30,returned,287.1
67,27,2025-07-23,delivered,360.93
68,93,2025-07-15,delivered,303.52
69,32,2025-01-10,delivered,415.13
70,50,2024-10-21,delivered,479.95
71,61,2024-09-20,delivered,177.84
72,51,2025-09-04,delivered,121.4
73,19,2025-03-02,delivered,217.56
74,21,2024-09-23,delivered,151.09
75,5,2024-11-08,returned,311.33
76,82,2025-08-28,delivered,456.81
77,92,2025-04-14,shipped,78.17
78,42,2025-02-19,delivered,59.39
79,61,2025-07-20,delivered,135.45
80,22,2025-06-12,delivered,365.79
81,21,2025-02-04,delivered,300.55
82,70,2025-03-15,shipped,60.08
83,1,2024-09-15,delivered,460.19
84,5,2025-01-30,delivered,397.14
85,12,2025-05-27,delivered,21.28
86,90,2025-02-16,delivered,329.17
87,46,2024-11-10,delivered,387.91
88,34,2025-01-19,delivered,193.47
89,49,2024-11-26,delivered,43.77
90,78,2025-08-22,delivered,47.89
91,90,2024-11-15,delivered,61.08
92,45,2024-12-19,delivered,421.82
93,27,2024-12-21,shipped,456.24
94,73,2025-02-24,shipped,70.18
95,26,2025-08-13,pending,125.59
96,47,2024-10-31,shipped,91.11
97,86,2024-09-17,delivered,101.3
98,56,2025-04-30,delivered,420.37
99,94,2025-05-02,delivered,172.75
100,63,2025-05-01,shipped,162.61
