product_id,name,category,price,stock_quantity,rating
1,Home Product 1,Home,388.17,256,3.6
2,Clothing Product 2,Clothing,851.88,324,4.8
3,Electronics Product 3,Electronics,320.34,492,3.8
4,Home Product 4,Home,173.65,3,4.7
5,Home Product 5,Home,559.02,15,3.8
6,Electronics Product 6,Electronics,936.47,279,3.5
7,Clothing Product 7,Clothing,697.55,335,5.0
8,Electronics Product 8,Electronics,572.21,246,4.9
9,Toys Product 9,Toys,101.69,257,2.6
10,Home Product 10,Home,616.93,496,3.6
11,Sports Product 11,Sports,990.1,475,5.0
12,Sports Product 12,Sports,144.38,383,3.0
13,Beauty Product 13,Beauty,520.74,159,4.6
14,Electronics Product 14,Electronics,877.99,474,4.5
15,Electronics Product 15,Electronics,742.06,339,3.4
16,Beauty Product 16,Beauty,698.53,151,4.0
17,Beauty Product 17,Beauty,703.97,395,2.3
18,Beauty Product 18,Beauty,362.69,177,5.0
19,Home Product 19,Home,297.12,162,3.8
20,Toys Product 20,Toys,810.31,379,4.6
21,Electronics Product 21,Electronics,811.06,32,4.5
22,Home Product 22,Home,867.74,416,5.0
23,Beauty Product 23,Beauty,913.67,444,3.7
24,Electronics Product 24,Electronics,513.79,178,4.2
25,Home Product 25,Home,504.01,426,4.4
26,Toys Product 26,Toys,799.3,100,4.7
27,Home Product 27,Home,651.71,267,4.9
28,Toys Product 28,Toys,703.46,322,3.6
29,Beauty Product 29,Beauty,796.81,64,3.5
30,Toys Product 30,Toys,890.56,416,5.0
31,Electronics Product 31,Electronics,341.31,167,2.4
32,Beauty Product 32,Beauty,378.71,329,5.0
33,Electronics Product 33,Electronics,98.51,42,3.8
34,Sports Product 34,Sports,580.39,43,4.0
35,Clothing Product 35,Clothing,40.76,284,3.5
36,Toys Product 36,Toys,468.27,396,4.0
37,Clothing Product 37,Clothing,544.93,11,5.0
38,Clothing Product 38,Clothing,290.11,94,4.6
39,Toys Product 39,Toys,592.88,301,4.4
40,Beauty Product 40,Beauty,35.35,385,4.1
41,Sports Product 41,Sports,42.16,252,2.8
42,Electronics Product 42,Electronics,823.49,498,3.3
43,Home Product 43,Home,363.39,241,3.7
44,Electronics Product 44,Electronics,131.43,34,4.4
45,Home Product 45,Home,524.63,214,4.1
46,Electronics Product 46,Electronics,771.14,336,4.8
47,Toys Product 47,Toys,219.74,89,4.4
48,Sports Product 48,Sports,624.78,263,4.0
49,Home Product 49,Home,89.92,92,5.0
50,Beauty Product 50,Beauty,56.42,409,4.3
51,Electronics Product 51,Electronics,533.7,457,3.7
52,Electronics Product 52,Electronics,542.93,89,5.0
53,Home Product 53,Home,639.24,417,5.0
54,Beauty Product 54,Beauty,727.46,114,5.0
55,Beauty Product 55,Beauty,975.97,104,3.9
56,Toys Product 56,Toys,518.72,390,4.8
57,Toys Product 57,Toys,326.34,195,2.8
58,Toys Product 58,Toys,796.21,313,4.6
59,Toys Product 59,Toys,274.48,113,3.9
60,Toys Product 60,Toys,441.78,492,2.9
61,Toys Product 61,Toys,83.06,74,4.8
62,Sports Product 62,Sports,30.22,412,2.6
63,Beauty Product 63,Beauty,962.84,375,2.5
64,Toys Product 64,Toys,836.8,419,4.3
65,Beauty Product 65,Beauty,697.49,216,4.5
66,Beauty Product 66,Beauty,411.91,276,4.8
67,Clothing Product 67,Clothing,177.43,248,4.6
68,Sports Product 68,Sports,160.65,163,5.0
69,Toys Product 69,Toys,253.99,393,4.6
70,Electronics Product 70,Electronics,551.48,356,3.9
71,Home Product 71,Home,716.02,456,3.9
72,Electronics Product 72,Electronics,661.9,407,3.8
73,Sports Product 73,Sports,283.53,191,4.2
74,Home Product 74,Home,955.09,226,3.1
75,Sports Product 75,Sports,739.21,176,4.3
76,Beauty Product 76,Beauty,556.58,98,3.9
77,Home Product 77,Home,613.66,495,4.2
78,Beauty Product 78,Beauty,422.5,35,4.2
79,Electronics Product 79,Electronics,251.49,465,2.0
80,Electronics Product 80,Electronics,359.19,496,3.3
81,Home Product 81,Home,759.06,486,3.9
82,Home Product 82,Home,19.32,95,4.0
83,Toys Product 83,Toys,120.49,151,4.2
84,Sports Product 84,Sports,50.77,150,4.2
85,Toys Product 85,Toys,45.53,189,5.0
86,Sports Product 86,Sports,856.18,223,4.2
87,Toys Product 87,Toys,705.14,36,3.7
88,Beauty Product 88,Beauty,476.8,267,2.7
89,Home Product 89,Home,102.34,368,2.9
90,Electronics Product 90,Electronics,494.16,182,4.4
91,Sports Product 91,Sports,476.1,12,4.8
92,Sports Product 92,Sports,177.34,278,5.0
93,Electronics Product 93,Electronics,436.68,216,3.3
94,Toys Product 94,Toys,401.51,354,3.8
95,Sports Product 95,Sports,617.77,360,4.2
96,Beauty Product 96,Beauty,636.92,285,5.0
97,Home Product 97,Home,50.08,272,4.1
98,Electronics Product 98,Electronics,377.74,368,5.0
99,Home Product 99,Home,627.73,61,4.1
100,Sports Product 100,Sports,505.62,83,4.9
