order_id,user_id,order_date,shipping_date,status,total_amount
1,5978,2024-10-22,2024-10-29,delivered,25.4
2,6,2025-06-10,2025-06-14,delivered,321.84
3,5,2025-08-19,2025-08-22,delivered,164.03
4,1170,2024-12-29,2025-01-05,delivered,259.2
5,2804,2025-03-19,2025-03-24,delivered,454.71
6,4011,2025-01-02,2025-01-07,shipped,132.15
7,7,2025-05-20,2025-05-27,delivered,211.09
8,15,2025-02-09,2025-02-14,delivered,380.22
9,9126,2025-01-08,2025-01-11,delivered,122.11
10,6,2025-02-07,2025-02-11,delivered,47.72
11,917,2025-06-01,2025-06-04,delivered,151.98
12,1,2024-12-27,2024-12-30,delivered,89.0
13,6573,2025-04-07,2025-04-14,delivered,465.55
14,4,2024-10-23,,pending,405.98
15,9293,2024-11-17,2024-11-23,shipped,320.37
