order_id,product_id,quantity,unit_price,total_price,discount_amount,discount_rate,tax_amount,tax_rate,shipping_cost,product_variant,is_gift_wrapped,is_bulk_order,cross_sell_item
1,18,7,11.03,76.84,19.31,0.25,4.63,0.08,14.29,Standard,False,False,False
1,25,1,110.91,103.33,33.27,0.3,6.21,0.08,19.48,Standard,False,False,False
1,10,4,261.46,923.1,209.17,0.2,66.93,0.08,19.48,Standard,False,False,False
2,16,4,39.63,149.96,31.71,0.2,10.15,0.08,12.99,Standard,False,False,False
2,18,1,12.74,24.9,1.71,0.134,0.88,0.08,12.99,Standard,False,False,True
3,16,5,37.16,164.77,46.44,0.25,11.15,0.08,14.29,Standard,False,False,False
3,8,3,19.65,64.63,11.14,0.189,3.83,0.08,12.99,Standard,True,False,True
3,18,2,12.94,37.56,3.12,0.121,1.82,0.08,12.99,Standard,False,False,True
3,21,1,398.31,375.24,59.75,0.15,27.09,0.08,9.59,Standard,False,False,False
4,26,2,25.13,67.27,0.0,0.0,4.02,0.08,12.99,Standard,False,False,False
4,21,1,468.6,515.68,0.0,0.0,37.49,0.08,9.59,Standard,False,False,False
4,6,2,7.88,28.23,1.65,0.104,1.13,0.08,12.99,Standard,False,False,True
5,21,1,445.17,466.33,22.26,0.05,33.83,0.08,9.59,Standard,False,False,False
5,1,3,128.15,386.74,40.79,0.106,27.49,0.08,15.59,Standard,False,False,True
5,20,1,21.82,38.34,4.36,0.2,1.4,0.08,19.48,Standard,False,False,False
5,18,2,13.97,41.67,1.4,0.05,2.12,0.08,12.99,Standard,False,False,False
6,5,18,3.78,53.58,33.98,0.5,2.72,0.08,16.89,Standard,False,True,False
6,27,2,300.82,567.89,90.24,0.15,40.91,0.08,15.59,Standard,False,False,False
6,26,6,18.85,105.89,28.27,0.25,6.79,0.08,14.29,Standard,False,False,False
6,1,2,121.86,239.32,36.56,0.15,16.57,0.08,15.59,Standard,False,False,False
7,3,2,71.96,129.56,35.98,0.25,8.63,0.08,12.99,Standard,False,False,False
7,29,1,28.1,39.1,3.92,0.14,1.93,0.08,12.99,Standard,False,False,True
7,11,1,28.06,40.27,2.81,0.1,2.02,0.08,12.99,Standard,False,False,False
7,22,2,127.82,220.06,63.91,0.25,15.34,0.08,12.99,Standard,False,False,False
8,25,5,118.83,502.69,148.54,0.25,35.65,0.08,21.43,Standard,False,False,False
8,24,1,126.14,108.35,37.84,0.3,7.06,0.08,12.99,Standard,False,False,False
9,1,1,143.36,170.42,0.0,0.0,11.47,0.08,15.59,Standard,False,False,False
10,18,2,13.97,41.67,1.4,0.05,2.12,0.08,12.99,Standard,False,False,False
11,19,1,320.53,323.54,32.05,0.1,23.08,0.08,11.98,Standard,False,False,False
11,9,1,45.95,56.65,4.6,0.1,3.31,0.08,11.98,Standard,False,False,False
11,20,1,24.55,43.34,2.46,0.1,1.77,0.08,19.48,Standard,False,False,False
11,16,1,44.59,56.33,4.46,0.1,3.21,0.08,12.99,Standard,False,False,False
11,24,1,162.18,170.63,16.22,0.1,11.68,0.08,12.99,Standard,False,False,False
12,23,16,14.21,188.77,68.21,0.3,12.73,0.08,16.89,Standard,False,True,False
13,29,1,32.66,48.26,0.0,0.0,2.61,0.08,12.99,Standard,False,False,False
14,19,1,267.11,228.34,66.78,0.25,16.03,0.08,11.98,Standard,False,False,False
14,28,1,172.6,152.8,43.15,0.25,10.36,0.08,12.99,Standard,False,False,False
15,29,5,27.76,141.71,20.82,0.15,9.44,0.08,14.29,Standard,False,False,False
16,2,1,94.34,109.79,4.72,0.05,7.17,0.08,12.99,Standard,False,False,False
16,10,1,310.49,338.04,15.52,0.05,23.6,0.08,19.48,Standard,False,False,False
16,22,3,153.39,460.27,46.02,0.1,33.13,0.08,12.99,Standard,False,False,False
17,18,2,13.97,41.67,1.4,0.05,2.12,0.08,12.99,Standard,False,False,False
18,19,3,249.3,577.4,224.37,0.3,41.88,0.08,11.98,Standard,False,False,False
18,1,1,129.02,141.0,12.9,0.1,9.29,0.08,15.59,Standard,False,False,False
19,29,16,17.96,187.61,129.33,0.45,12.65,0.08,16.89,Standard,True,True,False
19,28,1,207.13,214.32,20.71,0.1,14.91,0.08,12.99,Standard,False,False,False
19,3,2,82.67,166.85,22.87,0.138,11.4,0.08,12.99,Standard,False,False,True
19,21,1,351.45,294.26,87.86,0.25,21.09,0.08,9.59,Standard,False,False,False
20,23,1,15.23,25.32,3.81,0.25,0.91,0.08,12.99,Standard,False,False,False
21,1,1,121.86,127.45,18.28,0.15,8.29,0.08,15.59,Standard,False,False,False
22,15,2,203.51,342.68,101.76,0.25,24.42,0.08,12.99,Standard,True,False,False
22,24,1,162.18,170.63,16.22,0.1,11.68,0.08,12.99,Standard,False,False,False
23,14,1,62.69,80.7,0.0,0.0,5.02,0.08,12.99,Standard,False,False,False
23,9,1,51.06,67.12,0.0,0.0,4.08,0.08,11.98,Standard,False,False,False
24,13,1,16.09,25.37,0.0,0.0,1.29,0.08,7.99,Standard,False,False,False
24,23,2,18.04,47.61,4.02,0.111,2.56,0.08,12.99,Standard,False,False,True
24,14,1,62.69,80.7,0.0,0.0,5.02,0.08,12.99,Standard,False,False,False
25,24,1,126.14,108.35,37.84,0.3,7.06,0.08,12.99,Standard,False,False,False
25,20,1,19.1,33.92,5.73,0.3,1.07,0.08,19.48,Standard,False,False,False
26,3,1,67.16,63.76,20.15,0.3,3.76,0.08,12.99,Standard,False,False,False
