order_id,user_id,order_date,order_time,order_datetime,status,total_amount,order_source,payment_method,shipping_method,promo_code,shipping_address_id,billing_address_id,customer_notes,order_priority,timezone,shipping_region
1,65,2025-05-22 00:00:00,20:11:12,2025-05-22T20:11:12,delivered,88.33,web,apple_pay,economy,,848,848,,standard,PST,PST
2,27,2024-10-14 00:00:00,07:04:58,2024-10-14T07:04:58,delivered,459.03,web,credit_card,economy,,946,184,,standard,EST,EST
3,19,2025-08-03 00:00:00,17:24:18,2025-08-03T17:24:18,delivered,301.39,mobile_web,debit_card,economy,,935,23,,standard,MST,MST
4,48,2024-11-05 00:00:00,13:13:14,2024-11-05T13:13:14,delivered,694.55,mobile_app,credit_card,economy,,776,776,,standard,MST,MST
5,70,2025-01-10 00:00:00,20:18:42,2025-01-10T20:18:42,delivered,682.34,web,debit_card,standard,,718,404,,standard,EST,EST
6,22,2025-02-10 00:00:00,21:33:04,2025-02-10T21:33:04,delivered,432.57,mobile_app,credit_card,express,,56,727,,medium,MST,MST
7,32,2025-05-31 00:00:00,21:29:03,2025-05-31T21:29:03,delivered,3036.02,api,debit_card,standard,,495,495,,standard,PST,PST
8,69,2025-03-15 00:00:00,15:23:33,2025-03-15T15:23:33,delivered,472.75,web,credit_card,express,,10,10,,standard,PST,PST
9,55,2024-12-24 00:00:00,19:00:10,2024-12-24T19:00:10,delivered,75.85,web,credit_card,standard,,386,438,,standard,EST,EST
10,72,2025-05-19 00:00:00,19:20:55,2025-05-19T19:20:55,delivered,430.01,mobile_web,credit_card,standard,FREESHIP,184,121,,medium,CST,CST
11,58,2025-02-06 00:00:00,13:58:26,2025-02-06T13:58:26,delivered,52.76,mobile_app,credit_card,standard,,643,643,,standard,PST,PST
12,6,2025-07-16 00:00:00,19:25:10,2025-07-16T19:25:10,delivered,41.54,web,credit_card,express,,611,669,,medium,CST,CST
13,1,2025-06-26 00:00:00,07:07:08,2025-06-26T07:07:08,delivered,467.82,mobile_app,credit_card,overnight,,92,92,,medium,EST,EST
14,60,2025-04-05 00:00:00,16:34:26,2025-04-05T16:34:26,delivered,149.8,mobile_app,debit_card,economy,,377,377,,standard,Other,Other
15,80,2024-09-18 00:00:00,12:30:47,2024-09-18T12:30:47,delivered,163.29,web,credit_card,standard,,231,231,,standard,CST,CST
16,38,2025-02-27 00:00:00,10:04:24,2025-02-27T10:04:24,delivered,221.51,web,credit_card,economy,,814,814,,standard,CST,CST
17,84,2024-10-08 00:00:00,09:57:55,2024-10-08T09:57:55,delivered,92.47,web,paypal,economy,,129,129,,standard,CST,CST
18,95,2025-01-04 00:00:00,17:13:08,2025-01-04T17:13:08,delivered,364.01,mobile_web,credit_card,standard,,833,833,,standard,MST,MST
19,88,2024-12-11 00:00:00,13:55:13,2024-12-11T13:55:13,delivered,120.55,api,paypal,standard,,66,66,,medium,MST,MST
20,8,2025-01-07 00:00:00,18:19:27,2025-01-07T18:19:27,delivered,495.11,mobile_app,apple_pay,economy,,772,772,,standard,MST,MST
21,62,2024-10-19 00:00:00,20:52:45,2024-10-19T20:52:45,delivered,540.76,web,debit_card,economy,,6,6,,standard,CST,CST
22,35,2025-07-01 00:00:00,13:30:10,2025-07-01T13:30:10,delivered,1078.66,mobile_web,paypal,overnight,SAVE20,90,90,,medium,EST,EST
23,77,2025-02-07 00:00:00,16:38:36,2025-02-07T16:38:36,delivered,2307.1,web,credit_card,standard,,373,176,,standard,PST,PST
24,33,2025-08-05 00:00:00,18:19:37,2025-08-05T18:19:37,delivered,173.83,mobile_app,debit_card,economy,FREESHIP,927,927,Fragile - handle with care,standard,PST,PST
25,49,2025-03-22 00:00:00,13:12:32,2025-03-22T13:12:32,delivered,74.43,web,paypal,standard,,536,361,,medium,MST,MST
26,45,2025-07-21 00:00:00,17:45:43,2025-07-21T17:45:43,delivered,732.02,web,credit_card,economy,,46,46,,standard,PST,PST
27,28,2024-09-04 00:00:00,20:29:17,2024-09-04T20:29:17,delivered,106.3,mobile_app,credit_card,economy,,617,617,,standard,CST,CST
28,66,2025-05-17 00:00:00,17:12:00,2025-05-17T17:12:00,delivered,1838.29,mobile_app,credit_card,economy,,564,564,,standard,PST,PST
29,37,2025-08-07 00:00:00,12:09:28,2025-08-07T12:09:28,delivered,611.81,web,apple_pay,economy,,261,261,,standard,PST,PST
30,89,2025-04-02 00:00:00,06:04:52,2025-04-02T06:04:52,delivered,337.14,web,credit_card,standard,,276,714,,standard,CST,CST
31,21,2025-03-02 00:00:00,19:25:38,2025-03-02T19:25:38,delivered,133.1,web,debit_card,standard,,524,524,,standard,Other,Other
32,93,2025-02-11 00:00:00,05:51:15,2025-02-11T05:51:15,delivered,505.39,mobile_app,paypal,standard,,27,254,,standard,CST,CST
33,9,2024-09-25 00:00:00,19:33:21,2024-09-25T19:33:21,delivered,411.22,mobile_app,paypal,standard,NEWUSER,338,338,,standard,CST,CST
34,39,2024-11-15 00:00:00,16:58:36,2024-11-15T16:58:36,delivered,1494.67,web,credit_card,economy,,232,232,,standard,EST,EST
35,12,2025-03-24 00:00:00,21:56:31,2025-03-24T21:56:31,delivered,508.58,api,debit_card,standard,,802,180,,standard,CST,CST
36,51,2025-01-22 00:00:00,18:29:29,2025-01-22T18:29:29,delivered,172.86,web,credit_card,economy,,98,98,,standard,EST,EST
37,16,2025-05-03 00:00:00,23:36:02,2025-05-03T23:36:02,delivered,434.47,mobile_app,debit_card,standard,,919,919,,standard,EST,EST
38,54,2025-06-24 00:00:00,14:47:05,2025-06-24T14:47:05,delivered,335.46,mobile_web,apple_pay,economy,,695,545,,standard,MST,MST
39,68,2025-03-16 00:00:00,18:18:41,2025-03-16T18:18:41,delivered,613.31,api,credit_card,economy,,266,266,,standard,EST,EST
40,47,2025-05-04 00:00:00,14:56:58,2025-05-04T14:56:58,delivered,1222.15,web,credit_card,standard,HOLIDAY15,274,274,,standard,Other,Other
41,36,2025-02-22 00:00:00,15:29:22,2025-02-22T15:29:22,delivered,459.1,mobile_web,debit_card,economy,,624,624,,standard,MST,MST
42,18,2025-06-26 00:00:00,17:44:53,2025-06-26T17:44:53,delivered,252.03,mobile_app,paypal,economy,,294,294,,standard,EST,EST
43,57,2024-09-24 00:00:00,19:45:50,2024-09-24T19:45:50,delivered,699.79,web,credit_card,standard,,313,313,,standard,MST,MST
44,74,2024-11-22 00:00:00,22:19:25,2024-11-22T22:19:25,delivered,1102.56,mobile_web,credit_card,economy,,650,650,,standard,EST,EST
45,14,2024-12-16 00:00:00,18:39:52,2024-12-16T18:39:52,delivered,379.95,mobile_web,credit_card,economy,,762,762,,standard,EST,EST
46,40,2025-04-05 00:00:00,14:51:54,2025-04-05T14:51:54,delivered,58.56,web,debit_card,economy,HOLIDAY15,955,955,,standard,PST,PST
47,78,2024-10-24 00:00:00,14:11:26,2024-10-24T14:11:26,delivered,347.53,web,credit_card,economy,,715,715,,standard,EST,EST
48,52,2025-08-30 00:00:00,18:15:11,2025-08-30T18:15:11,shipped,2002.7,mobile_app,credit_card,economy,,8,8,,standard,PST,PST
49,96,2024-12-24 00:00:00,12:57:39,2024-12-24T12:57:39,delivered,196.27,mobile_web,apple_pay,standard,,974,902,,standard,EST,EST
50,44,2025-02-21 00:00:00,09:46:27,2025-02-21T09:46:27,delivered,1357.9,mobile_app,paypal,economy,HOLIDAY15,691,783,,standard,PST,PST
51,83,2025-08-12 00:00:00,14:29:24,2025-08-12T14:29:24,delivered,381.36,mobile_app,debit_card,economy,SAVE20,976,976,,standard,PST,PST
52,41,2025-06-02 00:00:00,13:58:42,2025-06-02T13:58:42,delivered,198.58,mobile_app,debit_card,economy,,696,696,,standard,MST,MST
53,17,2025-03-11 00:00:00,13:11:44,2025-03-11T13:11:44,delivered,66.82,mobile_app,debit_card,standard,FREESHIP,272,272,,standard,EST,EST
54,46,2024-10-21 00:00:00,12:36:06,2024-10-21T12:36:06,delivered,396.89,mobile_app,credit_card,economy,,956,528,,standard,PST,PST
55,29,2024-09-15 00:00:00,10:25:44,2024-09-15T10:25:44,delivered,511.67,mobile_app,credit_card,express,,500,500,,medium,EST,EST
56,59,2025-05-06 00:00:00,04:15:56,2025-05-06T04:15:56,returned,334.89,mobile_app,credit_card,economy,,110,110,,standard,Other,Other
57,64,2025-04-28 00:00:00,22:55:10,2025-04-28T22:55:10,delivered,163.19,web,paypal,express,,504,504,,standard,CST,CST
58,43,2025-07-11 00:00:00,15:17:56,2025-07-11T15:17:56,delivered,173.83,web,paypal,express,,8,8,,standard,CST,CST
59,53,2024-12-05 00:00:00,14:40:34,2024-12-05T14:40:34,delivered,1219.28,web,apple_pay,standard,,439,550,,standard,EST,EST
60,50,2025-06-06 00:00:00,17:18:42,2025-06-06T17:18:42,delivered,282.75,api,paypal,standard,,166,166,,medium,MST,MST
61,56,2024-11-04 00:00:00,12:58:04,2024-11-04T12:58:04,shipped,1596.61,web,credit_card,overnight,,114,114,,medium,EST,EST
62,30,2025-01-02 00:00:00,21:44:46,2025-01-02T21:44:46,returned,93.58,web,debit_card,standard,,923,923,,standard,EST,EST
63,76,2025-04-05 00:00:00,18:46:57,2025-04-05T18:46:57,delivered,467.69,web,credit_card,standard,,122,122,,standard,MST,MST
64,2,2024-09-09 00:00:00,09:13:58,2024-09-09T09:13:58,delivered,1604.66,web,paypal,economy,,783,783,,standard,EST,EST
65,86,2025-04-06 00:00:00,14:31:26,2025-04-06T14:31:26,delivered,747.61,mobile_web,credit_card,express,,135,135,,standard,MST,MST
66,82,2025-02-09 00:00:00,19:48:35,2025-02-09T19:48:35,delivered,1774.82,mobile_web,debit_card,standard,,786,786,,standard,PST,PST
67,31,2024-10-10 00:00:00,21:07:23,2024-10-10T21:07:23,delivered,313.3,web,credit_card,standard,,9,9,,standard,MST,MST
