order_id,user_id,order_date,status,total_amount,order_source,payment_method,shipping_method,promo_code,shipping_address_id,billing_address_id,customer_notes,order_priority,timezone,shipping_region
1,65,2025-05-22 00:00:00,delivered,88.33,web,apple_pay,economy,,848,848,,standard,PST,PST
2,27,2024-10-14 00:00:00,delivered,459.03,web,credit_card,economy,,946,184,,standard,EST,EST
3,19,2025-08-03 00:00:00,delivered,301.39,mobile_web,debit_card,economy,,935,23,,standard,MST,MST
4,48,2024-11-05 00:00:00,delivered,694.55,mobile_app,credit_card,economy,,776,776,,standard,MST,MST
5,70,2025-01-10 00:00:00,delivered,682.34,web,debit_card,standard,,718,404,,standard,EST,EST
6,22,2025-02-10 00:00:00,delivered,432.57,mobile_app,credit_card,express,,56,727,,medium,MST,MST
7,32,2025-05-31 00:00:00,delivered,3036.02,api,debit_card,standard,,495,495,,standard,PST,PST
8,69,2025-03-15 00:00:00,delivered,472.75,web,credit_card,express,,10,10,,standard,PST,PST
9,55,2024-12-24 00:00:00,delivered,75.85,web,credit_card,standard,,386,438,,standard,EST,EST
10,72,2025-05-19 00:00:00,delivered,430.01,mobile_web,credit_card,standard,FREESHIP,184,121,,medium,CST,CST
11,58,2025-02-06 00:00:00,delivered,52.76,mobile_app,credit_card,standard,,643,643,,standard,PST,PST
12,6,2025-07-16 00:00:00,delivered,41.54,web,credit_card,express,,611,669,,medium,CST,CST
13,1,2025-06-26 00:00:00,delivered,467.82,mobile_app,credit_card,overnight,,92,92,,medium,EST,EST
14,60,2025-04-05 00:00:00,delivered,149.8,mobile_app,debit_card,economy,,377,377,,standard,Other,Other
15,80,2024-09-18 00:00:00,delivered,163.29,web,credit_card,standard,,231,231,,standard,CST,CST
16,38,2025-02-27 00:00:00,delivered,221.51,web,credit_card,economy,,814,814,,standard,CST,CST
17,84,2024-10-08 00:00:00,delivered,92.47,web,paypal,economy,,129,129,,standard,CST,CST
18,95,2025-01-04 00:00:00,delivered,364.01,mobile_web,credit_card,standard,,833,833,,standard,MST,MST
19,88,2024-12-11 00:00:00,delivered,120.55,api,paypal,standard,,66,66,,medium,MST,MST
20,8,2025-01-07 00:00:00,delivered,495.11,mobile_app,apple_pay,economy,,772,772,,standard,MST,MST
21,62,2024-10-19 00:00:00,delivered,540.76,web,debit_card,economy,,6,6,,standard,CST,CST
22,35,2025-07-01 00:00:00,delivered,1078.66,mobile_web,paypal,overnight,SAVE20,90,90,,medium,EST,EST
23,77,2025-02-07 00:00:00,delivered,2307.1,web,credit_card,standard,,373,176,,standard,PST,PST
24,33,2025-08-05 00:00:00,delivered,173.83,mobile_app,debit_card,economy,FREESHIP,927,927,Fragile - handle with care,standard,PST,PST
25,49,2025-03-22 00:00:00,delivered,74.43,web,paypal,standard,,536,361,,medium,MST,MST
26,45,2025-07-21 00:00:00,delivered,732.02,web,credit_card,economy,,46,46,,standard,PST,PST
27,28,2024-09-04 00:00:00,delivered,106.3,mobile_app,credit_card,economy,,617,617,,standard,CST,CST
28,66,2025-05-17 00:00:00,delivered,1838.29,mobile_app,credit_card,economy,,564,564,,standard,PST,PST
29,37,2025-08-07 00:00:00,delivered,611.81,web,apple_pay,economy,,261,261,,standard,PST,PST
30,89,2025-04-02 00:00:00,delivered,337.14,web,credit_card,standard,,276,714,,standard,CST,CST
31,21,2025-03-02 00:00:00,delivered,133.1,web,debit_card,standard,,524,524,,standard,Other,Other
32,93,2025-02-11 00:00:00,delivered,505.39,mobile_app,paypal,standard,,27,254,,standard,CST,CST
33,9,2024-09-25 00:00:00,delivered,411.22,mobile_app,paypal,standard,NEWUSER,338,338,,standard,CST,CST
34,39,2024-11-15 00:00:00,delivered,1494.67,web,credit_card,economy,,232,232,,standard,EST,EST
35,12,2025-03-24 00:00:00,delivered,508.58,api,debit_card,standard,,802,180,,standard,CST,CST
36,51,2025-01-22 00:00:00,delivered,172.86,web,credit_card,economy,,98,98,,standard,EST,EST
37,16,2025-05-03 00:00:00,delivered,434.47,mobile_app,debit_card,standard,,919,919,,standard,EST,EST
38,54,2025-06-24 00:00:00,delivered,335.46,mobile_web,apple_pay,economy,,695,545,,standard,MST,MST
39,68,2025-03-16 00:00:00,delivered,613.31,api,credit_card,economy,,266,266,,standard,EST,EST
40,47,2025-05-04 00:00:00,delivered,1222.15,web,credit_card,standard,HOLIDAY15,274,274,,standard,Other,Other
41,36,2025-02-22 00:00:00,delivered,459.1,mobile_web,debit_card,economy,,624,624,,standard,MST,MST
42,18,2025-06-26 00:00:00,delivered,252.03,mobile_app,paypal,economy,,294,294,,standard,EST,EST
43,57,2024-09-24 00:00:00,delivered,699.79,web,credit_card,standard,,313,313,,standard,MST,MST
44,74,2024-11-22 00:00:00,delivered,1102.56,mobile_web,credit_card,economy,,650,650,,standard,EST,EST
45,14,2024-12-16 00:00:00,delivered,379.95,mobile_web,credit_card,economy,,762,762,,standard,EST,EST
46,40,2025-04-05 00:00:00,delivered,58.56,web,debit_card,economy,HOLIDAY15,955,955,,standard,PST,PST
47,78,2024-10-24 00:00:00,delivered,347.53,web,credit_card,economy,,715,715,,standard,EST,EST
48,52,2025-08-30 00:00:00,shipped,2002.7,mobile_app,credit_card,economy,,8,8,,standard,PST,PST
49,96,2024-12-24 00:00:00,delivered,196.27,mobile_web,apple_pay,standard,,974,902,,standard,EST,EST
50,44,2025-02-21 00:00:00,delivered,1357.9,mobile_app,paypal,economy,HOLIDAY15,691,783,,standard,PST,PST
51,83,2025-08-12 00:00:00,delivered,381.36,mobile_app,debit_card,economy,SAVE20,976,976,,standard,PST,PST
52,41,2025-06-02 00:00:00,delivered,198.58,mobile_app,debit_card,economy,,696,696,,standard,MST,MST
53,17,2025-03-11 00:00:00,delivered,66.82,mobile_app,debit_card,standard,FREESHIP,272,272,,standard,EST,EST
54,46,2024-10-21 00:00:00,delivered,396.89,mobile_app,credit_card,economy,,956,528,,standard,PST,PST
55,29,2024-09-15 00:00:00,delivered,511.67,mobile_app,credit_card,express,,500,500,,medium,EST,EST
56,59,2025-05-06 00:00:00,returned,334.89,mobile_app,credit_card,economy,,110,110,,standard,Other,Other
57,64,2025-04-28 00:00:00,delivered,163.19,web,paypal,express,,504,504,,standard,CST,CST
58,43,2025-07-11 00:00:00,delivered,173.83,web,paypal,express,,8,8,,standard,CST,CST
59,53,2024-12-05 00:00:00,delivered,1219.28,web,apple_pay,standard,,439,550,,standard,EST,EST
60,50,2025-06-06 00:00:00,delivered,282.75,api,paypal,standard,,166,166,,medium,MST,MST
61,56,2024-11-04 00:00:00,shipped,1596.61,web,credit_card,overnight,,114,114,,medium,EST,EST
62,30,2025-01-02 00:00:00,returned,93.58,web,debit_card,standard,,923,923,,standard,EST,EST
63,76,2025-04-05 00:00:00,delivered,467.69,web,credit_card,standard,,122,122,,standard,MST,MST
64,2,2024-09-09 00:00:00,delivered,1604.66,web,paypal,economy,,783,783,,standard,EST,EST
65,86,2025-04-06 00:00:00,delivered,747.61,mobile_web,credit_card,express,,135,135,,standard,MST,MST
66,82,2025-02-09 00:00:00,delivered,1774.82,mobile_web,debit_card,standard,,786,786,,standard,PST,PST
67,31,2024-10-10 00:00:00,delivered,313.3,web,credit_card,standard,,9,9,,standard,MST,MST
68,79,2024-11-30 00:00:00,delivered,376.61,mobile_web,paypal,standard,,157,157,,standard,CST,CST
69,63,2025-07-27 00:00:00,delivered,284.14,mobile_app,debit_card,economy,FREESHIP,254,254,,standard,CST,CST
70,85,2025-08-24 00:00:00,delivered,589.27,mobile_app,paypal,standard,,748,748,,standard,CST,CST
71,71,2024-10-18 00:00:00,delivered,328.09,web,credit_card,express,,235,235,,standard,Other,Other
72,92,2025-03-02 00:00:00,delivered,131.48,web,credit_card,standard,,19,19,,medium,MST,MST
73,75,2024-10-19 00:00:00,delivered,49.34,mobile_app,credit_card,economy,,649,228,,standard,PST,PST
74,23,2025-05-13 00:00:00,delivered,151.49,mobile_app,credit_card,economy,,312,312,,standard,PST,PST
75,99,2025-07-24 00:00:00,delivered,96.38,api,credit_card,economy,,917,917,,standard,MST,MST
76,100,2024-11-02 00:00:00,returned,677.76,mobile_web,credit_card,economy,SUMMER25,293,293,,standard,EST,EST
77,13,2025-03-16 00:00:00,delivered,23.57,mobile_app,credit_card,standard,,373,373,,medium,EST,EST
78,90,2025-09-01 00:00:00,shipped,41.33,mobile_app,credit_card,standard,,789,340,,high,CST,CST
79,3,2025-06-09 00:00:00,delivered,60.82,mobile_app,debit_card,economy,,620,620,,standard,PST,PST
80,42,2024-12-26 00:00:00,delivered,583.37,web,credit_card,economy,,134,134,,standard,EST,EST
81,34,2025-03-20 00:00:00,delivered,229.21,mobile_web,paypal,standard,,838,838,,medium,CST,CST
82,26,2025-06-04 00:00:00,delivered,401.2,web,credit_card,economy,NEWUSER,309,309,,standard,EST,EST
83,94,2024-12-19 00:00:00,delivered,184.74,mobile_app,debit_card,standard,,429,429,Gift - please wrap,standard,PST,PST
84,15,2025-02-12 00:00:00,delivered,107.17,mobile_app,paypal,express,,999,999,,medium,CST,CST
85,4,2025-07-25 00:00:00,delivered,1003.54,mobile_web,credit_card,economy,HOLIDAY15,430,430,,standard,CST,CST
86,67,2025-03-10 00:00:00,delivered,52.89,web,credit_card,economy,,991,991,,standard,PST,PST
87,61,2025-03-06 00:00:00,returned,1294.16,web,debit_card,economy,,711,711,,standard,PST,PST
88,7,2024-12-07 00:00:00,delivered,367.1,web,paypal,express,,77,77,,medium,PST,PST
89,10,2025-02-28 00:00:00,delivered,1851.37,mobile_app,credit_card,economy,,279,279,,standard,EST,EST
90,97,2025-04-06 00:00:00,returned,777.11,mobile_app,debit_card,standard,,10,810,,standard,EST,EST
91,24,2024-10-30 00:00:00,delivered,427.83,mobile_app,credit_card,standard,,873,873,,standard,MST,MST
92,20,2025-01-30 00:00:00,delivered,257.04,api,credit_card,standard,,299,299,Gift - please wrap,standard,EST,EST
93,98,2024-11-17 00:00:00,delivered,741.56,web,paypal,economy,,810,810,,standard,PST,PST
