order_id,product_id,quantity
1,12,1
1,35,1
2,19,1
2,20,1
3,29,1
4,23,1
5,41,1
5,4,1
6,48,1
6,44,1
7,44,1
7,29,1
7,3,1
8,37,1
8,3,1
9,24,1
9,29,1
9,49,1
9,5,1
10,8,1
11,34,1
12,17,1
12,50,1
13,19,1
13,45,1
13,32,1
13,13,1
13,8,3
14,21,1
14,43,1
14,23,1
15,11,2
16,33,2
16,15,2
16,8,1
17,24,1
17,36,1
18,9,1
18,40,1
18,6,1
18,5,1
18,20,1
19,9,1
19,21,1
20,23,1
20,9,1
20,50,1
21,33,1
22,8,1
23,11,1
23,21,1
24,19,1
24,6,1
24,17,1
24,13,1
25,33,1
25,42,1
26,43,1
27,22,1
27,37,1
27,3,2
27,2,1
28,37,1
29,32,1
29,41,1
30,16,1
30,44,1
31,11,1
31,29,1
31,27,1
32,21,1
32,47,1
32,23,1
32,26,1
33,18,1
33,29,1
34,25,2
35,11,2
35,21,1
36,33,1
37,32,1
37,2,2
37,6,1
37,26,1
38,32,1
39,44,1
39,31,1
39,19,1
40,47,1
40,24,1
40,49,1
40,26,1
41,5,1
41,25,1
42,40,1
43,7,1
44,22,1
44,36,1
44,24,1
45,3,1
45,9,2
46,10,1
46,39,1
47,21,1
47,11,3
47,26,1
47,40,1
48,37,1
48,20,1
49,8,1
49,27,1
50,45,1
50,41,1
50,2,1
51,38,1
51,37,1
51,15,1
51,47,1
51,4,1
52,44,1
53,45,1
53,8,1
54,27,1
54,45,1
55,31,1
55,48,2
56,36,2
56,21,1
57,12,1
57,30,1
58,50,1
58,47,1
59,31,1
60,36,1
61,20,1
61,50,1
61,19,1
61,46,1
62,47,1
62,18,1
62,19,1
62,8,1
63,50,1
63,10,1
64,23,1
64,29,1
64,42,1
65,36,1
65,45,1
66,16,1
66,4,1
66,43,1
67,22,1
68,50,1
69,11,2
69,27,1
69,42,1
69,31,2
69,13,1
70,35,1
70,48,2
71,12,1
71,27,1
71,3,2
71,26,2
72,3,1
73,7,1
73,22,2
74,32,1
74,9,1
75,8,1
76,42,1
76,17,1
76,46,2
77,49,1
77,13,1
78,28,1
78,33,1
78,21,2
78,6,1
79,1,1
79,17,1
79,25,1
79,16,1
80,17,1
80,42,1
81,30,1
81,20,1
81,11,2
82,41,1
82,19,1
82,24,1
83,48,2
84,45,1
84,36,2
85,14,1
85,49,1
85,16,1
86,34,1
86,46,1
87,36,1
88,35,1
89,34,1
89,29,1
90,6,1
90,33,1
91,27,1
92,30,1
93,2,1
93,26,1
94,5,1
95,5,2
95,35,2
96,31,1
97,50,1
97,9,3
98,27,2
98,24,1
99,25,1
99,6,1
99,44,2
99,43,1
100,26,1
100,34,2
100,9,3
100,47,1
100,15,2
101,25,1
101,15,1
102,47,1
103,43,1
104,2,1
104,16,1
104,14,1
105,4,1
105,16,1
105,48,1
106,50,1
106,4,1
106,9,1
107,21,1
107,37,2
107,39,1
108,43,1
108,34,1
108,15,1
108,27,2
109,41,1
109,44,2
109,28,2
109,36,1
110,21,1
110,45,1
110,27,1
111,16,1
111,15,1
112,4,2
112,36,1
112,27,1
113,14,1
114,29,1
115,47,1
116,25,1
117,5,1
117,13,1
118,14,1
118,31,1
118,22,1
119,48,1
120,31,1
120,16,1
120,45,1
120,39,2
120,46,1
121,23,1
121,20,1
122,7,1
122,47,1
123,24,1
123,21,1
123,27,1
123,3,1
124,38,1
124,47,1
124,27,1
124,19,1
125,42,1
125,44,1
126,47,1
126,42,1
127,23,1
127,11,5
127,9,3
128,34,1
128,3,1
128,5,2
128,43,1
128,4,2
129,33,1
130,41,1
131,31,1
131,43,1
132,1,1
132,2,1
133,2,1
133,33,2
133,45,1
133,44,1
133,28,1
134,34,1
135,26,1
135,6,1
136,45,1
136,15,1
137,42,1
138,25,1
139,41,1
139,1,1
140,42,2
140,22,3
140,37,2
141,15,1
141,14,1
141,45,1
141,37,1
142,37,1
142,43,1
142,3,3
142,12,1
143,46,1
143,26,1
143,5,1
144,44,1
144,35,1
144,22,2
145,6,2
145,33,1
145,48,1
146,22,1
146,39,1
146,50,2
147,41,1
147,18,1
148,36,1
149,44,1
149,38,1
150,16,1
150,46,1
151,41,1
151,10,1
152,1,1
153,49,1
153,18,1
154,36,1
154,33,1
155,6,1
155,39,1
156,19,1
156,27,1
157,16,1
157,37,1
157,34,1
157,11,1
158,28,1
159,5,1
160,47,1
160,41,1
160,32,1
160,39,1
161,40,1
161,25,1
162,42,1
162,39,1
163,13,2
163,31,3
163,21,1
163,12,1
164,37,1
164,16,1
165,24,1
165,8,2
165,37,1
166,2,1
166,47,1
166,30,2
167,5,1
167,27,1
167,44,1
168,46,1
168,28,2
168,25,1
169,33,1
169,45,1
170,45,1
170,35,1
170,39,1
170,41,1
170,6,1
171,42,1
171,44,2
172,28,1
172,7,1
173,34,1
173,36,1
174,26,1
174,30,1
175,23,1
175,2,1
176,6,1
176,8,1
176,47,1
176,10,1
177,7,1
177,29,1
178,3,1
179,22,1
180,11,4
180,48,1
180,16,1
181,15,1
181,26,1
181,41,1
181,12,1
181,43,1
182,46,1
182,14,1
183,5,1
183,37,1
183,7,1
184,8,1
185,34,1
185,41,1
185,21,1
185,39,1
186,12,1
186,44,1
187,6,1
187,44,1
188,12,1
188,24,1
189,9,1
189,37,1
190,45,1
190,42,1
191,19,1
192,29,1
192,40,1
193,9,1
194,36,1
194,33,1
195,46,1
195,29,1
196,49,1
197,15,1
198,30,1
199,32,1
199,36,1
199,33,1
200,24,1
200,35,1
200,49,1
