order_id,product_id,quantity
1,35,1
1,84,2
2,3,1
2,44,1
2,28,2
3,61,1
3,38,2
3,69,1
4,1,1
5,68,1
5,27,1
5,48,2
6,27,1
6,81,2
6,34,1
7,32,1
7,38,2
8,14,1
9,42,2
9,94,1
9,90,1
10,29,1
11,87,1
12,102,1
13,20,2
13,96,1
14,93,2
15,57,2
16,96,2
17,57,1
18,37,1
19,94,1
20,58,1
21,73,1
21,58,2
21,69,2
22,32,1
23,84,3
23,34,1
24,60,1
24,91,1
25,82,1
26,28,1
27,73,2
28,64,1
29,27,1
29,81,1
29,79,1
30,84,1
31,7,1
32,48,1
32,13,2
33,68,2
33,33,2
33,29,2
34,10,1
35,92,2
35,97,1
36,64,2
37,41,2
37,4,1
38,45,1
39,80,3
39,70,1
40,10,1
40,15,1
40,69,1
41,43,2
42,30,1
42,93,1
42,6,1
43,65,2
43,62,1
44,6,2
44,72,1
45,36,1
46,31,1
46,57,1
47,74,1
48,28,1
49,81,1
50,20,1
51,100,1
52,20,1
53,12,1
54,86,1
55,60,1
56,10,2
57,98,1
58,4,2
59,11,1
60,72,1
61,22,1
62,41,1
63,11,1
64,87,1
65,7,1
66,29,1
67,25,1
68,37,1
