order_id,user_id,order_date,status,total_amount
1,93369,2024-09-22,delivered,26.99
2,97694,2024-11-01,delivered,47.49
3,92423,2025-03-11,delivered,145.79
4,95680,2025-03-14,returned,19.0
5,90120,2025-06-02,delivered,15.79
6,98895,2024-10-24,delivered,20.0
7,80371,2024-10-01,delivered,82.0
8,81137,2025-02-28,returned,46.79
9,62035,2024-12-13,cancelled,19.95
10,85763,2024-12-06,returned,55.79
11,95171,2024-10-26,delivered,36.49
12,16671,2025-05-09,delivered,87.49
13,60958,2024-10-06,delivered,16.99
14,88850,2025-01-14,delivered,23.79
15,92680,2024-10-08,delivered,22.79
16,84860,2024-09-06,delivered,15.0
17,1460,2024-10-20,delivered,44.0
18,83798,2024-11-19,delivered,42.95
19,88750,2024-09-17,returned,33.99
20,93650,2024-09-20,delivered,26.95
21,75849,2025-01-29,delivered,15.79
22,180,2025-02-04,delivered,21.79
23,83251,2024-11-01,delivered,23.99
24,92735,2025-02-26,delivered,15.49
25,16730,2024-12-17,delivered,28.79
26,98017,2025-01-12,delivered,49.79
27,81435,2025-08-24,delivered,218.0
28,94808,2024-10-16,delivered,39.49
29,93777,2025-05-11,delivered,42.79
30,4357,2024-10-25,delivered,30.99
31,90076,2024-10-06,delivered,15.49
32,92677,2024-10-22,delivered,32.0
33,85098,2024-12-17,delivered,35.95
34,96039,2024-09-18,delivered,388.79
35,72974,2024-10-24,delivered,27.79
36,83873,2025-04-04,delivered,44.95
37,96615,2024-11-13,delivered,31.79
38,94507,2025-07-24,delivered,15.79
39,80923,2024-10-23,delivered,103.99
40,80775,2025-04-14,delivered,70.0
41,99461,2024-09-19,delivered,73.0
42,45862,2024-12-14,delivered,15.95
43,82962,2025-03-09,delivered,134.0
44,99250,2024-11-25,returned,15.49
45,17150,2025-02-14,delivered,59.99
46,89378,2024-11-22,delivered,296.79
47,92088,2024-09-24,delivered,15.79
48,76171,2025-02-18,delivered,18.0
49,26967,2025-07-12,delivered,36.0
50,2152,2024-10-19,delivered,20.99
51,89876,2024-12-10,delivered,15.49
52,24468,2025-01-22,delivered,35.99
53,88845,2024-11-27,cancelled,15.99
54,82470,2025-08-11,delivered,53.0
55,90827,2024-10-02,delivered,15.79
56,84572,2024-12-08,delivered,156.49
57,97172,2024-11-29,delivered,15.49
58,75256,2024-11-29,delivered,23.0
59,95945,2024-09-17,returned,74.95
60,90308,2025-04-09,delivered,15.0
61,62999,2025-03-04,delivered,41.79
62,12751,2025-01-05,delivered,122.95
63,89011,2024-10-22,delivered,15.95
64,96171,2025-01-30,delivered,39.79
65,66902,2024-11-03,delivered,42.95
66,93730,2025-08-09,delivered,72.79
67,71269,2024-10-18,delivered,15.95
68,13696,2025-03-05,delivered,15.49
69,12631,2025-07-08,delivered,55.49
70,90520,2024-10-12,cancelled,44.79
71,52167,2024-09-12,cancelled,42.79
72,47582,2025-04-01,delivered,46.0
73,88525,2024-11-15,delivered,16.0
74,90851,2025-03-23,delivered,41.49
75,91457,2025-02-09,delivered,44.95
76,28710,2025-01-24,delivered,16.49
77,91160,2025-02-01,delivered,213.95
78,53037,2025-02-14,delivered,53.79
79,64001,2025-03-12,delivered,15.99
80,33068,2024-11-30,delivered,63.49
81,85463,2025-04-05,delivered,15.49
82,96965,2025-07-20,delivered,72.49
83,10812,2025-03-18,returned,105.0
84,86658,2025-02-22,delivered,15.0
85,94639,2025-04-20,delivered,86.0
86,99232,2024-11-01,delivered,50.49
87,93962,2024-11-03,delivered,75.99
88,96087,2024-10-18,delivered,220.95
89,60675,2024-12-16,delivered,25.79
90,83292,2025-05-15,delivered,15.79
91,58228,2025-03-25,delivered,15.0
92,60063,2024-09-26,delivered,15.49
93,90437,2025-03-12,delivered,30.0
94,81305,2025-08-30,shipped,46.49
95,29742,2025-02-15,delivered,43.0
96,90269,2025-06-12,delivered,75.49
97,83062,2025-04-10,delivered,33.99
98,47198,2025-02-18,delivered,141.79
99,96533,2024-09-20,returned,25.0
100,84616,2025-02-19,delivered,502.79
101,87502,2024-12-29,delivered,61.79
102,91374,2025-08-15,delivered,15.99
103,84952,2025-04-11,delivered,15.95
104,95458,2025-01-04,returned,53.95
105,94899,2025-05-03,delivered,26.95
106,16434,2025-01-16,returned,67.49
107,66966,2024-09-30,delivered,53.79
108,69291,2024-12-10,delivered,30.49
109,91063,2024-11-25,delivered,15.0
110,42146,2024-09-10,delivered,15.79
111,83782,2025-04-13,delivered,21.49
112,20583,2025-01-28,delivered,77.79
113,600,2024-09-24,delivered,41.49
114,86181,2024-11-23,delivered,15.95
115,90053,2025-01-31,returned,39.95
116,63395,2025-01-15,delivered,48.95
117,89546,2024-12-17,delivered,15.95
118,88465,2024-10-19,delivered,38.99
119,94545,2025-01-31,delivered,35.99
120,84137,2025-05-15,delivered,15.99
121,29109,2025-01-01,delivered,47.79
122,50087,2024-09-15,delivered,58.0
123,87119,2024-12-14,delivered,97.99
124,90397,2025-03-20,delivered,94.0
125,83873,2025-08-05,delivered,15.49
126,97794,2024-10-08,delivered,15.49
127,87992,2025-01-31,cancelled,55.49
128,85593,2025-04-25,delivered,55.49
129,86844,2025-05-17,returned,55.0
130,97005,2024-09-07,delivered,999.49
131,13016,2024-09-17,delivered,58.0
132,84322,2025-05-20,delivered,103.0
133,88668,2024-10-03,delivered,85.79
134,92059,2025-02-01,delivered,63.79
135,61982,2024-09-06,delivered,24.0
136,89375,2024-12-23,delivered,70.0
137,81919,2025-04-08,delivered,15.49
138,81586,2025-05-27,delivered,26.95
139,70303,2025-07-06,delivered,20.49
140,83808,2024-10-28,delivered,35.95
141,81211,2024-09-27,delivered,335.99
142,85216,2025-04-24,delivered,15.49
143,93272,2024-09-09,returned,65.49
144,69858,2024-09-28,delivered,15.79
145,96754,2024-12-01,delivered,20.95
146,94270,2025-05-25,delivered,98.95
147,86581,2025-04-26,delivered,35.95
148,42989,2025-03-22,delivered,15.79
149,92216,2024-12-18,cancelled,16.0
150,97585,2025-03-08,delivered,65.79
151,90688,2025-02-12,delivered,15.79
152,84233,2024-10-15,delivered,41.79
153,14783,2024-10-28,delivered,34.49
154,68583,2025-03-27,delivered,17.0
155,85141,2025-02-11,delivered,282.0
156,88703,2025-01-03,delivered,62.49
157,82112,2024-11-30,delivered,15.95
158,88001,2025-06-07,returned,39.95
159,84393,2024-11-08,delivered,17.95
160,83244,2024-10-16,delivered,77.49
161,38145,2025-08-09,delivered,15.0
162,91059,2024-09-29,delivered,29.95
163,93535,2024-10-07,delivered,54.95
164,50230,2025-07-05,delivered,78.99
165,97419,2025-03-14,delivered,15.49
166,29717,2025-04-01,delivered,23.0
167,80070,2024-09-15,delivered,20.99
168,61456,2024-11-12,delivered,17.79
169,3279,2024-09-22,delivered,193.0
170,96723,2024-11-18,delivered,49.99
171,23183,2024-09-27,delivered,15.0
172,34572,2024-10-18,delivered,82.0
173,18042,2024-09-06,delivered,276.0
174,97877,2025-03-29,delivered,92.99
175,98154,2025-05-07,delivered,15.79
176,86525,2025-01-07,delivered,20.49
177,84137,2025-08-05,delivered,117.95
178,48016,2024-09-30,delivered,16.0
179,87783,2024-12-10,delivered,51.99
180,17883,2025-05-07,delivered,71.79
181,64645,2024-11-11,delivered,15.0
182,92541,2025-02-27,delivered,31.79
183,83632,2024-12-06,delivered,15.49
184,72593,2024-10-04,delivered,15.99
185,95703,2025-06-08,delivered,25.0
186,90124,2024-11-10,delivered,15.0
187,54588,2025-01-18,delivered,169.95
188,94899,2024-09-27,returned,15.0
189,95903,2024-11-14,delivered,21.0
190,85053,2024-11-21,delivered,37.49
191,19842,2025-04-17,delivered,139.99
192,81158,2024-09-19,delivered,15.99
193,99555,2025-06-01,delivered,105.99
194,81491,2025-01-15,delivered,33.99
195,92922,2024-11-27,delivered,15.49
196,22002,2024-09-13,delivered,52.49
197,92403,2025-03-20,delivered,40.79
198,33369,2025-03-09,delivered,18.49
199,84505,2024-12-17,cancelled,35.0
200,37634,2024-10-02,delivered,22.95
201,82783,2024-10-10,delivered,37.49
202,15448,2024-11-20,returned,64.95
203,80316,2025-05-09,delivered,161.99
204,92353,2025-05-20,delivered,15.99
205,90211,2025-03-19,delivered,279.79
206,78329,2024-10-16,delivered,15.0
207,87758,2025-03-13,delivered,28.49
208,89011,2024-10-08,delivered,59.49
209,27563,2024-10-27,delivered,43.49
210,98927,2024-12-10,delivered,17.49
211,20849,2024-11-23,delivered,26.99
212,94796,2025-01-08,cancelled,20.99
213,84130,2024-11-16,delivered,18.95
214,76137,2024-09-16,delivered,77.99
215,18092,2025-01-22,delivered,47.0
216,97796,2025-07-06,delivered,16.79
217,30930,2025-03-15,delivered,81.0
218,81965,2024-11-25,delivered,45.49
219,96076,2024-11-09,delivered,74.79
220,90807,2024-10-27,delivered,62.99
