order_id,product_id,quantity
1,3,1
1,35,3
1,49,1
1,33,3
1,16,2
2,13,2
3,35,1
3,11,2
3,38,1
3,6,1
3,39,2
3,1,2
3,4,2
3,33,3
3,25,3
4,34,1
4,7,3
5,8,3
5,39,2
5,48,3
5,29,1
5,50,2
6,12,1
6,30,3
6,15,2
7,9,2
7,16,2
7,5,2
7,2,1
8,10,3
8,33,3
9,16,1
9,3,1
9,5,2
9,46,1
9,10,1
10,1,1
11,39,2
11,1,1
11,8,3
12,35,1
12,7,3
12,50,1
13,32,2
13,42,1
13,16,3
13,3,2
14,7,3
14,43,1
14,44,2
14,10,2
15,13,3
15,18,3
15,1,3
16,40,2
16,3,2
17,26,3
17,31,1
17,30,2
17,41,1
17,12,1
18,49,1
18,11,1
18,26,2
19,17,2
19,35,3
19,19,2
20,28,3
20,46,3
20,26,1
21,41,3
21,33,1
21,8,1
21,9,1
21,31,2
22,7,3
22,26,3
22,49,3
23,43,2
23,5,2
24,26,2
24,10,2
24,31,1
24,9,1
25,1,1
25,35,1
25,28,1
26,23,3
26,8,1
26,3,2
26,14,2
27,41,2
27,38,1
27,40,3
27,11,3
27,31,2
28,36,1
28,41,2
29,18,1
30,36,1
30,21,1
30,10,2
30,17,2
31,18,2
32,44,1
32,1,3
32,5,2
32,26,3
33,6,1
33,43,1
33,32,3
33,7,3
34,32,1
35,2,3
35,40,2
35,4,2
35,15,2
36,4,1
36,46,2
36,32,3
36,36,2
37,37,1
37,17,2
38,21,1
39,3,3
39,48,3
40,12,2
40,22,1
41,41,2
41,17,2
42,48,3
42,40,1
42,26,1
43,14,1
43,37,3
44,23,1
44,10,1
44,25,3
44,29,3
45,32,1
45,48,2
45,18,3
45,41,1
45,33,1
46,2,3
46,6,2
46,1,2
47,35,1
47,44,2
47,7,3
47,39,3
48,23,3
49,23,3
49,33,1
50,36,1
50,6,2
50,12,3
51,45,3
51,44,2
52,35,2
52,39,1
52,46,3
52,28,3
52,7,2
52,21,2
53,42,1
53,38,2
53,25,2
54,31,2
54,13,1
55,12,3
55,24,1
56,20,3
56,4,3
57,50,1
57,19,3
57,29,2
58,31,2
58,7,2
58,11,2
58,4,3
58,32,3
58,18,2
59,4,2
59,32,1
59,6,2
60,36,3
60,1,2
60,5,3
60,21,2
60,40,2
60,24,1
61,22,1
61,1,2
61,30,2
62,11,3
63,1,1
63,8,3
63,2,1
63,23,3
63,47,3
63,7,3
64,28,2
64,24,2
64,26,3
64,33,2
65,6,1
65,23,3
66,48,2
66,49,1
66,34,2
66,12,1
67,11,3
67,2,2
67,24,1
67,41,2
68,47,1
68,44,1
68,50,1
68,16,3
68,46,2
69,29,1
69,37,1
69,4,2
69,5,1
69,7,1
70,7,3
70,26,1
70,30,3
70,32,3
71,7,2
71,17,2
71,8,2
72,15,3
72,48,3
72,47,2
73,7,2
73,10,2
73,9,3
74,9,1
74,23,2
74,26,3
75,13,1
75,35,3
75,2,2
75,7,1
75,46,2
75,22,1
76,9,3
76,43,2
77,6,2
77,18,1
77,38,2
78,37,2
79,38,2
79,30,1
79,5,1
80,46,2
80,3,2
80,11,2
80,29,1
81,10,2
81,29,2
81,47,3
82,28,3
82,18,1
82,41,1
82,38,1
82,22,2
82,47,3
82,10,1
83,44,1
83,38,2
83,5,1
84,49,1
84,5,2
85,13,3
85,10,2
85,38,1
86,8,2
86,49,1
86,25,3
86,38,1
87,42,1
88,40,2
89,9,1
89,50,1
90,40,2
90,39,1
91,7,2
91,4,1
92,1,3
92,6,1
93,34,3
93,43,1
93,31,1
93,32,3
93,36,3
94,10,1
94,35,1
94,12,3
94,37,3
95,11,2
95,4,1
95,19,1
95,5,1
95,22,1
95,16,2
96,44,3
96,32,2
96,28,2
97,29,3
97,26,3
98,27,1
98,10,3
99,8,3
99,29,2
99,3,1
100,36,2
100,8,3
100,13,2
101,28,3
101,15,3
102,9,1
102,15,2
103,5,3
104,4,2
104,13,1
105,5,3
105,4,2
105,23,1
105,3,2
105,49,1
106,9,1
106,6,3
107,4,1
107,22,1
107,32,1
108,39,1
108,47,2
108,45,2
109,26,3
110,37,2
111,26,2
111,42,3
111,12,2
111,37,1
112,11,3
112,44,1
112,46,1
112,10,3
112,15,2
112,34,1
113,16,1
113,49,1
113,33,2
113,8,2
114,19,3
114,11,3
114,47,3
114,3,3
115,41,2
116,32,3
116,39,2
117,10,1
117,19,2
117,38,2
117,4,3
117,9,2
118,10,3
118,36,2
118,29,3
118,14,3
119,7,3
119,17,1
119,32,2
119,4,2
120,3,3
120,34,2
120,6,1
121,31,2
121,19,3
121,6,1
122,10,3
122,38,1
122,30,2
123,40,2
123,38,2
124,19,2
124,34,1
125,1,1
125,27,3
125,10,1
125,47,1
126,24,2
126,39,2
126,25,2
127,36,2
127,26,2
127,28,1
127,8,3
128,34,3
128,33,2
129,4,1
129,7,3
129,8,1
130,30,2
130,11,1
130,47,3
131,33,1
131,13,2
131,41,1
131,29,2
131,14,2
131,8,1
131,45,3
132,1,2
132,34,2
132,17,2
132,16,3
132,14,1
133,42,2
133,30,2
133,36,1
133,24,2
134,50,3
134,42,3
135,6,1
135,1,3
136,16,1
136,34,2
136,26,2
137,29,1
137,7,3
137,18,2
138,5,1
138,6,1
138,17,3
139,26,3
139,40,1
139,50,3
139,15,2
140,3,2
140,17,3
140,4,2
140,36,1
140,21,1
141,42,3
141,25,1
142,41,2
142,20,1
143,24,1
143,32,3
143,8,1
143,47,2
144,34,1
144,6,2
145,13,2
146,17,1
146,3,1
146,9,3
146,44,3
146,47,3
147,11,1
147,16,3
147,25,3
148,12,3
148,32,2
149,45,2
149,39,1
149,11,1
150,19,2
150,33,1
150,26,1
151,25,3
151,36,3
151,12,1
152,19,3
152,27,3
153,19,2
153,28,2
154,21,1
154,19,2
154,22,1
154,5,2
154,43,1
155,13,1
155,21,2
156,22,3
156,48,2
156,47,3
156,19,2
156,32,1
157,3,3
158,32,3
158,14,2
158,38,1
159,5,2
159,25,2
159,27,3
160,43,2
161,17,2
161,13,1
161,27,2
162,20,1
162,38,1
163,8,3
163,6,3
164,14,1
164,30,3
165,32,1
165,21,2
166,12,3
166,2,1
166,43,1
167,15,2
167,4,1
167,36,3
167,11,1
167,27,1
168,42,2
168,24,1
168,46,1
168,15,1
168,40,1
168,6,1
169,21,3
170,11,1
170,35,1
170,30,3
170,4,1
170,46,1
171,12,3
171,28,1
171,25,1
172,40,3
172,12,3
173,32,3
173,11,1
173,42,2
173,28,2
173,44,3
174,33,2
174,4,2
174,27,1
175,18,2
175,17,1
175,31,3
175,28,1
176,26,3
176,19,3
176,37,1
176,49,2
177,30,2
