order_id,user_id,order_date,status,total_amount
1,99,2025-04-15,delivered,469.79
2,36,2025-02-20,delivered,98.8
3,82,2025-07-21,returned,42.58
4,96,2025-06-13,delivered,373.15
5,24,2025-02-05,delivered,291.49
6,23,2025-03-16,delivered,422.5
7,62,2024-09-16,delivered,78.49
8,96,2025-01-31,delivered,399.68
9,37,2025-05-28,shipped,108.8
10,12,2025-02-17,delivered,90.19
11,55,2024-11-11,delivered,90.49
12,13,2025-01-20,returned,409.14
13,23,2024-11-27,returned,335.95
14,89,2025-08-23,delivered,266.3
15,99,2024-11-16,delivered,185.83
16,30,2024-12-20,delivered,439.83
17,17,2024-12-22,delivered,202.3
18,62,2025-02-25,delivered,410.13
19,84,2025-08-14,delivered,225.18
20,89,2024-11-01,shipped,194.7
21,86,2024-09-18,returned,236.71
22,13,2025-05-01,delivered,157.68
23,59,2025-05-03,delivered,376.33
24,19,2025-05-02,delivered,256.33
25,49,2024-12-09,delivered,123.78
26,100,2025-05-14,delivered,450.79
27,12,2024-12-28,shipped,198.11
28,61,2025-03-17,delivered,276.34
29,19,2025-02-12,delivered,454.17
30,76,2025-08-13,delivered,315.88
31,9,2025-04-06,delivered,67.28
32,71,2025-03-10,delivered,470.52
33,28,2024-09-28,delivered,317.58
34,78,2024-10-09,delivered,174.1
35,95,2024-12-22,delivered,78.24
36,52,2025-01-31,delivered,399.07
37,83,2024-10-28,shipped,313.84
38,16,2025-02-14,pending,271.4
39,69,2024-11-21,delivered,448.01
40,99,2025-05-12,delivered,396.41
41,12,2025-08-14,delivered,84.32
42,25,2025-07-11,delivered,162.74
43,52,2025-03-28,shipped,131.76
44,85,2024-12-10,pending,374.53
45,100,2025-05-07,delivered,26.43
46,53,2025-07-13,delivered,289.25
47,23,2025-04-04,delivered,383.6
48,16,2025-07-10,delivered,439.62
49,57,2024-09-12,delivered,177.62
50,39,2025-01-31,delivered,412.42
51,53,2025-07-05,delivered,64.21
52,42,2025-06-09,delivered,424.76
53,58,2025-01-22,delivered,72.47
54,39,2025-03-10,delivered,204.67
55,14,2025-04-04,delivered,400.67
56,95,2025-07-05,delivered,83.46
57,5,2025-03-12,shipped,122.33
58,35,2025-01-16,delivered,363.9
